"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","qValuesBatch","pValuesBatch","SYMBOL"
"211383_s_at",-0.0542269044371331,8.31791668925535,-0.750347890064199,0.478241121873161,0.760766743213968,-6.30489964403711,NA,NA,"WDR37"
"215236_s_at",-0.134146626225341,8.33855560858458,-0.750237236183052,0.478303528729441,0.760772468277504,-6.30498591014477,NA,NA,"PICALM"
"203028_s_at",0.0894519758141801,9.66438563398249,0.750143308008238,0.478356506886785,0.760772468277504,-6.30505912841494,NA,NA,"CYBA"
"221568_s_at",0.0559470591080267,10.2638327536504,0.750135560996964,0.478360876597647,0.760772468277504,-6.30506516696861,NA,NA,"LIN7C"
"212847_at",0.0746693514619423,7.92312133353109,0.750099312182274,0.478381323141863,0.760772468277504,-6.30509342108981,NA,NA,"FUBP1"
"215090_x_at",-0.0814572580009063,9.52875005386342,-0.750023538868833,0.478424065818626,0.760786131361377,-6.30515247884057,NA,NA,"NPEPPSP1"
"219339_s_at",-0.0589345682758369,5.27062237074712,-0.749727549942952,0.478591053735379,0.760997352181516,-6.30538312447289,NA,NA,"EHMT1"
"215879_at",-0.0592331523562351,2.83420214457253,-0.749375268062751,0.478789851599861,0.761178635899437,-6.30565753551409,NA,NA,"ITGB1"
"217160_at",0.0828350275756602,4.4771809573865,0.749367523110727,0.478794222815463,0.761178635899437,-6.30566356724484,NA,NA,"TSPY1"
"207994_s_at",0.0612583209670987,3.47292744506792,0.749343875722431,0.478807569459928,0.761178635899437,-6.30568198338951,NA,NA,"OPRM1"
"216797_at",-0.0549048650787665,3.92726444643943,-0.748930760401339,0.479040773199799,0.76145665150047,-6.30600363072742,NA,NA,"NA"
"201158_at",-0.0565503027038865,8.2820808581867,-0.748912977394852,0.479050813429954,0.76145665150047,-6.306017473031,NA,NA,"NMT1"
"221207_s_at",-0.104073288023363,6.24592953616141,-0.748826304449277,0.479099750733901,0.761468957887905,-6.306084935334,NA,NA,"NBEA"
"222097_at",-0.0540882155307765,5.0929994673204,-0.748778188610532,0.479126919365928,0.761468957887905,-6.30612238368175,NA,NA,"NA"
"204620_s_at",0.0574577670911527,9.45712983518962,0.748589765412607,0.479233322602605,0.761583730034116,-6.30626901307529,NA,NA,"VCAN"
"204215_at",-0.0620036390384584,9.61561474320471,-0.748509085203673,0.479278887861809,0.761601810749521,-6.30633178822544,NA,NA,"TMEM243"
"218541_s_at",0.0538173604896435,2.63258295292099,0.74842770532415,0.4793248512241,0.761620521449306,-6.30639510198185,NA,NA,"TCIM"
"214148_at",0.097460218986134,5.92779240033017,0.748348499309041,0.479369589636927,0.76162496711477,-6.30645671888267,NA,NA,"ITFG2"
"213833_x_at",-0.0644104707648854,5.89660323425449,-0.748301696638425,0.479396026793703,0.76162496711477,-6.30649312559304,NA,NA,"NOP16"
"215796_at",0.063447187274225,3.15404445263313,0.748195975738182,0.479455748365798,0.761665528513505,-6.30657535634662,NA,NA,"TRAV13-2"
"213111_at",0.0547275012863544,9.07296535026099,0.748073410377072,0.47952499161506,0.761701913142621,-6.30667067660277,NA,NA,"PIKFYVE"
"217168_s_at",0.0571089062250039,10.4708828478251,0.74803439192176,0.479547036487196,0.761701913142621,-6.30670101886126,NA,NA,"HERPUD1"
"220514_at",0.065187533134722,5.01174618887091,0.747775442096805,0.479693356736192,0.761748251207222,-6.30690235436964,NA,NA,"NA"
"203840_at",0.065661506620545,6.8159361494631,0.747773363895081,0.479694531150794,0.761748251207222,-6.30690396994947,NA,NA,"BLZF1"
"212307_s_at",-0.0753705031517189,8.79853344193868,-0.74775332472677,0.479705855603991,0.761748251207222,-6.30691954806743,NA,NA,"OGT"
"206815_at",-0.0950351018672366,4.13098718124163,-0.747740705159278,0.479712987214891,0.761748251207222,-6.30692935812946,NA,NA,"SPAG8"
"215174_at",-0.0631701161565781,3.66109897270606,-0.747528585463236,0.479832871661714,0.761802666474819,-6.30709423249302,NA,NA,"FMO6P"
"218319_at",-0.0573072185469545,7.7127784134071,-0.747488402617076,0.479855584214974,0.761802666474819,-6.30712546097753,NA,NA,"PELI1"
"204029_at",0.0601500582432566,7.13181712487335,0.747487310373946,0.479856201593739,0.761802666474819,-6.30712630980495,NA,NA,"CELSR2"
"216005_at",-0.0597629891626186,3.96286296808784,-0.747399600102906,0.479905780632043,0.761802666474819,-6.30719446967234,NA,NA,"TNC"
"202539_s_at",0.0572068250092137,11.2293488412223,0.747377560082,0.479918239498479,0.761802666474819,-6.30721159596426,NA,NA,"HMGCR"
"201775_s_at",0.0806846485816344,7.73941014969989,0.747099554446387,0.480075410255206,0.761964534180076,-6.30742758478088,NA,NA,"EFCAB14"
"201753_s_at",-0.0555187687537728,9.04532985449146,-0.747076190557889,0.480088620628969,0.761964534180076,-6.30744573361671,NA,NA,"ADD3"
"222113_s_at",-0.0624573880643062,6.96672062153868,-0.746911117304314,0.48018196305801,0.762058387906483,-6.30757394720828,NA,NA,"EPS15L1"
"AFFX-HUMGAPDH/M33197_M_at",-0.0576111845994838,13.7142083550736,-0.746705247810593,0.480298391253597,0.762188863225273,-6.30773381397857,NA,NA,"GAPDH"
"210516_at",-0.0710302540341998,3.59782875729041,-0.746540452213577,0.480391604041317,0.76225530987402,-6.30786175820629,NA,NA,"FAM120A"
"201922_at",-0.0542432977147005,12.4554934090077,-0.746510234440521,0.480408697339464,0.76225530987402,-6.30788521613169,NA,NA,"NSA2"
"214234_s_at",0.0691160084606062,3.58916616812843,0.746426078375708,0.480456304084558,0.762276553385919,-6.30795054188707,NA,NA,"CYP3A5"
"219680_at",-0.0573748848081461,8.02368315026724,-0.74618765852678,0.48059119444421,0.762426399526386,-6.30813558038347,NA,NA,"NLRX1"
"215207_x_at",-0.0650260518443604,7.77086159272947,-0.746129020882533,0.480624373655551,0.762426399526386,-6.30818108161124,NA,NA,"NA"
"212114_at",-0.0567073850419177,9.355000770832,-0.746077680160348,0.480653425279372,0.762426399526386,-6.30822091814226,NA,NA,"ATXN7L3B"
"214551_s_at",0.0549939003332689,4.04703049526959,0.745892675034461,0.480758121932789,0.762457921713682,-6.30836444895206,NA,NA,"CD7"
"205674_x_at",0.0595034173871083,4.66725937543066,0.745865334150623,0.480773595771326,0.762457921713682,-6.30838565802348,NA,NA,"FXYD2"
"215565_at",0.0718115300446307,2.97746005164612,0.745812839120409,0.480803306781128,0.762457921713682,-6.3084263780114,NA,NA,"DTNB-AS1"
"201050_at",-0.075350279185491,8.09103160881931,-0.745800655451235,0.480810202641011,0.762457921713682,-6.30843582844259,NA,NA,"PLD3"
"215511_at",0.144830698508366,4.69487735768014,0.745486626645893,0.480987963374681,0.762626993749758,-6.30867936417116,NA,NA,"TCF20"
"205736_at",0.0736718102935949,4.67378027204419,0.745454338694305,0.481006242958298,0.762626993749758,-6.30870439921685,NA,NA,"PGAM2"
"207777_s_at",-0.0763232060418679,4.00077379503414,-0.745430884106074,0.481019521891541,0.762626993749758,-6.30872258457987,NA,NA,"SP140"
"201786_s_at",0.0536862319402829,11.0495873762449,0.74525700366223,0.481117972858979,0.762628387285466,-6.30885738656272,NA,NA,"ADAR"
"222182_s_at",-0.0549218287402802,9.80912278617812,-0.745180583401411,0.481161246229527,0.762628387285466,-6.30891662346947,NA,NA,"CNOT2"
"214164_x_at",0.070701597424895,6.50194712689677,0.745124892653822,0.481192783051609,0.762628387285466,-6.30895978872752,NA,NA,"CA12"
"211561_x_at",-0.0770807963354523,7.26682651785965,-0.745061867291091,0.481228475028726,0.762628387285466,-6.3090086356698,NA,NA,"MAPK14"
"215981_at",0.0557407002335202,3.36941566502832,0.744987408441138,0.481270644209786,0.762628387285466,-6.30906633947567,NA,NA,"GPR176-DT"
"213254_at",-0.071920778683852,7.00811710252027,-0.744986634858398,0.481271082335277,0.762628387285466,-6.30906693895796,NA,NA,"TNRC6B"
"216373_at",0.0671701631790924,3.03768392040931,0.744980236827295,0.481274705927582,0.762628387285466,-6.30907189704519,NA,NA,"TAPT1"
"207123_s_at",-0.0589304591984261,5.78374986443069,-0.744945690398903,0.481294271977662,0.762628387285466,-6.30909866781591,NA,NA,"MATN4"
"217129_at",0.0559813224226593,5.4497770686909,0.744858170198778,0.481343843156966,0.762652688051759,-6.3091664844017,NA,NA,"NA"
"206391_at",-0.104157760421029,5.21723927794086,-0.744432989328754,0.481584713099917,0.762980062138315,-6.30949584744616,NA,NA,"RARRES1"
"207941_s_at",-0.0654327304123967,11.5819911440228,-0.744353093397838,0.481629984108302,0.762997522114965,-6.30955772044625,NA,NA,"RBM39"
"218027_at",-0.0576094033777039,11.1791750785288,-0.744275594329071,0.48167389972406,0.76301283255016,-6.30961773189955,NA,NA,"MRPL15"
"219406_at",-0.0803978803404748,7.55335013325766,-0.744110863913132,0.481767254773503,0.763106451549298,-6.30974527343757,NA,NA,"C1orf50"
"222200_s_at",-0.0655103815950584,8.02533310950202,-0.743889706117393,0.481892607104006,0.763176074470045,-6.30991646596613,NA,NA,"BSDC1"
"218860_at",-0.0538033566418985,8.74427295685262,-0.74385831423578,0.481910401808792,0.763176074470045,-6.30994076211914,NA,NA,"NOC4L"
"205812_s_at",-0.0539113451229998,11.9970868457243,-0.743851993511837,0.481913984808104,0.763176074470045,-6.30994565402027,NA,NA,"NA"
"200958_s_at",0.0571737732020061,11.0492226629338,0.743713001614336,0.481992779014282,0.763246597817824,-6.3100532173969,NA,NA,"SDCBP"
"210297_s_at",0.0628857921966417,3.01388541098256,0.743564287462169,0.482077094314659,0.763325853297864,-6.31016828581437,NA,NA,"MSMB"
"217012_at",0.0550006120613187,3.08407016083022,0.743387176323577,0.482177522537941,0.763430609067356,-6.31030530114735,NA,NA,"NA"
"222317_at",0.0690541338132644,2.84987761458472,0.743319156530533,0.482216095873369,0.763437422199634,-6.31035791474378,NA,NA,"PDE3B"
"213769_at",0.0703636243783334,4.69223433633805,0.742922402609027,0.482441132235977,0.763739418904268,-6.31066472434702,NA,NA,"KSR1"
"203952_at",-0.0654465141230194,8.25436763996742,-0.742644899259788,0.482598572249525,0.763864034942724,-6.31087923511168,NA,NA,"ATF6"
"220491_at",-0.0652479538257138,4.8460383497776,-0.742614619449992,0.482615753418269,0.763864034942724,-6.31090263737191,NA,NA,"HAMP"
"209854_s_at",0.0674668271887322,3.94388445715906,0.742602345159235,0.482622718131653,0.763864034942724,-6.31091212353378,NA,NA,"KLK2"
"205860_x_at",-0.0592542104122038,3.20972251107203,-0.74243064661526,0.482720150875276,0.763959433382824,-6.31104480650124,NA,NA,"NA"
"206564_at",0.0733459601750281,5.7157164157472,0.742333962440136,0.482775021465377,0.763959433382824,-6.31111950940488,NA,NA,"OPRL1"
"205947_s_at",-0.0701072050586085,4.00205557473181,-0.742314841656095,0.482785873464264,0.763959433382824,-6.31113428207819,NA,NA,"VIPR2"
"215658_at",-0.0831883575390968,4.97616092307944,-0.742123720507035,0.482894353233432,0.764006825362082,-6.3112819241231,NA,NA,"TMEM238L"
"216617_s_at",0.0683863006453365,4.38591276880834,0.742091010197481,0.482912921139872,0.764006825362082,-6.3113071897738,NA,NA,"MAG"
"36004_at",0.0555218284380139,8.41512198326389,0.742080811959902,0.482918710235825,0.764006825362082,-6.31131506676434,NA,NA,"IKBKG"
"221286_s_at",0.0541224816243462,5.45769872962856,0.741846672943722,0.483051633559594,0.76416284908444,-6.31149588757809,NA,NA,"MZB1"
"201452_at",-0.114205800704784,7.34605125171846,-0.741582635359253,0.483201560031774,0.764260927164657,-6.31169974045692,NA,NA,"RHEB"
"219497_s_at",-0.0704717378494388,6.7562042265798,-0.741552249690053,0.483218815696735,0.764260927164657,-6.31172319607441,NA,NA,"BCL11A"
"209116_x_at",0.0542040222039866,4.43470354371213,0.74151955864419,0.483237381018869,0.764260927164657,-6.31174843037262,NA,NA,"HBB"
"214395_x_at",-0.078909074564427,8.14701694806912,-0.741457675054194,0.483272526163655,0.764260927164657,-6.31179619588611,NA,NA,"EEF1D"
"200816_s_at",-0.0547499276090164,10.1206214771086,-0.741435416557957,0.48328516770519,0.764260927164657,-6.31181337551954,NA,NA,"PAFAH1B1"
"200721_s_at",-0.0667724124986275,9.40935511732629,-0.741329478976787,0.48334533717348,0.764301822559173,-6.31189513465903,NA,NA,"ACTR1A"
"213588_x_at",0.0586148861406723,13.0145188079265,0.741234526831315,0.483399271495932,0.764332853368932,-6.31196840718809,NA,NA,"RPL14"
"219894_at",0.0618517762579169,3.47470168009644,0.741103966279497,0.483473438536225,0.764395868720474,-6.31206914497245,NA,NA,"MAGEL2"
"212696_s_at",0.0645670730114016,10.152160165062,0.741019547552312,0.48352139801931,0.764417442599969,-6.31213427268728,NA,NA,"RNF4"
"220922_s_at",0.0765009727808961,4.30533045873903,0.740907646077959,0.483584975751594,0.76446370315202,-6.31222059321669,NA,NA,"NA"
