##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	980-3-GFP_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
1106	110-114	0.030498514861633907
1106	115-119	-0.0025466907799227556
1106	120-124	0.03177871331518389
1106	125-129	-0.05712296066274547
1106	130-134	-0.036631578171160584
1106	135-139	-0.07040648496179358
1106	140-144	-0.032346894202781584
1106	145-149	-0.07811453815545377
1106	150	-0.34912382652816376
1107	1	-0.13531410585186876
1107	2	-0.08241736350303341
1107	3	0.019463439509266323
1107	4	-0.04369406890235439
1107	5	-0.038567176908841816
1107	6	0.03579144939966028
1107	7	-0.010019967067442792
1107	8	-0.0914209760243665
1107	9	-0.047712388728044175
1107	10-14	-0.008234669105171122
1107	15-19	-0.013681178106850211
1107	20-24	-0.02182240201172192
1107	25-29	0.008708975544656994
1107	30-34	-0.018943125813784434
1107	35-39	-0.021959439280408333
1107	40-44	-0.01085133292902185
1107	45-49	-0.018775308473692576
1107	50-54	-0.01831253966096824
1107	55-59	-0.015863649443858208
1107	60-64	0.030936246814754043
1107	65-69	0.03382129723265592
1107	70-74	0.010295606145454883
1107	75-79	0.009059278707105989
1107	80-84	0.010881368590510476
1107	85-89	-0.017838272977051872
1107	90-94	0.03237333108341289
1107	95-99	-0.021828153216873147
1107	100-104	0.010079793656849745
1107	105-109	0.026735327188937674
1107	110-114	-0.027000533982921127
1107	115-119	0.06789373834377699
1107	120-124	-0.01518552503426207
1107	125-129	-0.02171267448525782
1107	130-134	-0.00924076330075252
1107	135-139	-0.09531059198780412
1107	140-144	-0.04042412654955996
1107	145-149	-0.13177086419531747
1107	150	-0.13510224045258923
1108	1	-0.06016504804583178
1108	2	-0.009590090785593475
1108	3	-0.014001290040233982
1108	4	-0.021875657262590664
1108	5	0.0064047823986967956
1108	6	0.046422954902240576
1108	7	-0.02329192284366144
1108	8	-0.06481187441638525
1108	9	-0.01054666174815111
1108	10-14	-0.034201499106224276
1108	15-19	-0.039099000718309185
1108	20-24	-0.05329442923997618
1108	25-29	-0.030842956985004832
1108	30-34	-0.030346043466344952
1108	35-39	-0.06508642131161935
1108	40-44	-0.02845480439292203
1108	45-49	-0.06249574898470911
1108	50-54	-0.03987849628461504
1108	55-59	-0.06032072806277
1108	60-64	-2.484611684678839E-4
1108	65-69	-0.06334910864060106
1108	70-74	-0.049360735089805985
1108	75-79	-0.025760409938257567
1108	80-84	-0.06527818968957178
1108	85-89	-0.06504012800414927
1108	90-94	-0.008991298847703888
1108	95-99	-0.03184183876950186
1108	100-104	-0.05153401089432208
1108	105-109	-0.0034428715890229
1108	110-114	0.003953028130773362
1108	115-119	-0.010552488272828953
1108	120-124	-0.03737936044696255
1108	125-129	-0.005101446672377108
1108	130-134	-0.008669453707234709
1108	135-139	-0.022505098390602996
1108	140-144	0.007460019994518063
1108	145-149	-0.07255167862418688
1108	150	-0.1581023602607985
1109	1	-0.06821564155213622
1109	2	-0.0381155638385664
1109	3	-0.011563088065855709
1109	4	-0.07676456379468277
1109	5	-0.022721820984749286
1109	6	-0.025465650084782965
1109	7	0.06494825493632561
1109	8	-0.006342181939544389
1109	9	-0.02575833844039721
1109	10-14	0.0032786461267093614
1109	15-19	-0.0015345591055506702
1109	20-24	-0.002302745214485924
1109	25-29	-0.010256937269325306
1109	30-34	0.026607636665310963
1109	35-39	-2.504462138119834E-4
1109	40-44	0.02169370638989676
1109	45-49	0.023425035646639003
1109	50-54	0.0034733346286088818
1109	55-59	0.0019973873753684757
1109	60-64	-0.004635499299517676
1109	65-69	0.021771329138864814
1109	70-74	0.009537977289475918
1109	75-79	-0.005587466420230669
1109	80-84	-0.013866715277721653
1109	85-89	-0.017893559713314744
1109	90-94	3.424327690666473E-4
1109	95-99	-0.03492884560407816
1109	100-104	0.03680193682860278
1109	105-109	0.04036614052078136
1109	110-114	-0.016138453488160565
1109	115-119	0.046078601621367454
1109	120-124	0.031709729052749935
1109	125-129	0.021549408339211595
1109	130-134	-0.008784103565815826
1109	135-139	-0.03172189521025359
1109	140-144	0.03380340465883336
1109	145-149	-0.05015983736479512
1109	150	-0.06304166584503434
1110	1	0.04690436980852297
1110	2	-0.07468262428910322
1110	3	-0.04080409795344053
1110	4	-0.04867846517580432
1110	5	-0.09371575933001708
1110	6	-0.09936162993786724
1110	7	-0.06526880719450645
1110	8	-0.06920810216934115
1110	9	-0.04358927679459157
1110	10-14	-0.023366924902148867
1110	15-19	-0.03631945026805283
1110	20-24	0.014152213318347151
1110	25-29	-0.01130101555411045
1110	30-34	-0.0568652237825944
1110	35-39	-0.06789433452158278
1110	40-44	-0.035999298472198404
1110	45-49	-0.027666280077383476
1110	50-54	-0.08352878345756665
1110	55-59	-0.07688457972553664
1110	60-64	-0.05924300133722227
1110	65-69	-0.05997394023670921
1110	70-74	-0.08784899999797346
1110	75-79	-0.06549663627308178
1110	80-84	-0.051210260880104386
1110	85-89	-0.05360993584645257
1110	90-94	-0.001248265450563224
1110	95-99	-0.04086119635299923
1110	100-104	-0.021469485616009365
1110	105-109	-0.011554620862234799
1110	110-114	-0.02914631243505994
1110	115-119	0.03715367353671439
1110	120-124	-0.02124095017964578
1110	125-129	-0.034485265717968616
1110	130-134	-0.051979387763815055
1110	135-139	-0.12047007038237467
1110	140-144	-0.08381134070887697
1110	145-149	-0.12929137939706692
1110	150	-0.14448823560647384
1111	1	-0.08478540268573198
1111	2	-0.07780893582719273
1111	3	-0.07593930495367829
1111	4	-0.07709215926236368
1111	5	-0.09384706285753452
1111	6	-0.030604635068073094
1111	7	-0.007029748895625687
1111	8	-0.09479076044983259
1111	9	-0.09494117312295458
1111	10-14	-0.028017471268562133
1111	15-19	-0.04468040974379761
1111	20-24	-0.035110690300008685
1111	25-29	-0.02557344848480625
1111	30-34	-0.0635284421221769
1111	35-39	-0.06569778969979012
1111	40-44	-0.06575707954619503
1111	45-49	-0.04182957387532582
1111	50-54	-0.06404575344286201
