"","Hour","dow_surgery_date","Count"
"611",9.06666666666667,"Wednesday",3
"612",9.08333333333333,"Friday",3
"613",9.08333333333333,"Monday",3
"614",9.08333333333333,"Thursday",11
"615",9.08333333333333,"Tuesday",4
"616",9.08333333333333,"Wednesday",2
"617",9.1,"Monday",2
"618",9.1,"Thursday",8
"619",9.1,"Tuesday",1
"620",9.1,"Wednesday",5
"621",9.11666666666667,"Friday",1
"622",9.11666666666667,"Monday",5
"623",9.11666666666667,"Thursday",12
"624",9.11666666666667,"Tuesday",3
"625",9.11666666666667,"Wednesday",6
"626",9.13333333333333,"Friday",2
"627",9.13333333333333,"Thursday",7
"628",9.13333333333333,"Tuesday",1
"629",9.13333333333333,"Wednesday",1
"630",9.15,"Friday",4
"631",9.15,"Monday",10
"632",9.15,"Thursday",4
"633",9.15,"Tuesday",10
"634",9.15,"Wednesday",2
"635",9.16666666666667,"Friday",5
"636",9.16666666666667,"Monday",4
"637",9.16666666666667,"Thursday",6
"638",9.16666666666667,"Tuesday",2
"639",9.16666666666667,"Wednesday",2
"640",9.18333333333333,"Friday",1
"641",9.18333333333333,"Monday",3
"642",9.18333333333333,"Sunday",1
"643",9.18333333333333,"Thursday",1
"644",9.18333333333333,"Tuesday",2
"645",9.18333333333333,"Wednesday",7
"646",9.2,"Friday",2
"647",9.2,"Monday",4
"648",9.2,"Thursday",2
"649",9.2,"Tuesday",4
"650",9.2,"Wednesday",7
"651",9.21666666666667,"Friday",1
"652",9.21666666666667,"Monday",2
"653",9.21666666666667,"Thursday",6
"654",9.21666666666667,"Tuesday",4
"655",9.21666666666667,"Wednesday",3
"656",9.23333333333333,"Friday",5
"657",9.23333333333333,"Monday",3
"658",9.23333333333333,"Tuesday",3
"659",9.23333333333333,"Wednesday",1
"660",9.25,"Friday",3
"661",9.25,"Saturday",1
"662",9.25,"Thursday",3
"663",9.25,"Tuesday",2
"664",9.25,"Wednesday",3
"665",9.26666666666667,"Friday",3
"666",9.26666666666667,"Monday",9
"667",9.26666666666667,"Thursday",2
"668",9.26666666666667,"Tuesday",4
"669",9.26666666666667,"Wednesday",4
"670",9.28333333333333,"Friday",3
"671",9.28333333333333,"Monday",4
"672",9.28333333333333,"Thursday",5
"673",9.28333333333333,"Tuesday",2
"674",9.28333333333333,"Wednesday",2
"675",9.3,"Friday",2
"676",9.3,"Monday",1
"677",9.3,"Saturday",1
"678",9.3,"Sunday",1
"679",9.3,"Thursday",7
"680",9.3,"Tuesday",4
"681",9.3,"Wednesday",8
"682",9.31666666666667,"Friday",3
"683",9.31666666666667,"Monday",8
"684",9.31666666666667,"Thursday",6
"685",9.31666666666667,"Tuesday",4
"686",9.31666666666667,"Wednesday",6
"687",9.33333333333333,"Friday",3
"688",9.33333333333333,"Monday",3
"689",9.33333333333333,"Thursday",2
"690",9.33333333333333,"Wednesday",5
"691",9.35,"Friday",1
"692",9.35,"Monday",3
"693",9.35,"Thursday",5
"694",9.35,"Tuesday",4
"695",9.35,"Wednesday",3
"696",9.36666666666667,"Friday",4
"697",9.36666666666667,"Sunday",1
"698",9.36666666666667,"Thursday",2
"699",9.36666666666667,"Tuesday",3
"700",9.36666666666667,"Wednesday",3
"701",9.38333333333333,"Friday",5
"702",9.38333333333333,"Monday",6
"703",9.38333333333333,"Thursday",6
"704",9.38333333333333,"Tuesday",2
"705",9.38333333333333,"Wednesday",10
"706",9.4,"Friday",3
"707",9.4,"Monday",3
"708",9.4,"Thursday",2
"709",9.4,"Tuesday",2
"710",9.4,"Wednesday",6
"711",9.41666666666667,"Friday",4
"712",9.41666666666667,"Monday",4
"713",9.41666666666667,"Saturday",1
"714",9.41666666666667,"Thursday",1
"715",9.41666666666667,"Tuesday",6
"716",9.41666666666667,"Wednesday",3
"717",9.43333333333333,"Friday",4
"718",9.43333333333333,"Monday",1
"719",9.43333333333333,"Thursday",4
"720",9.43333333333333,"Tuesday",4
"721",9.43333333333333,"Wednesday",5
"722",9.45,"Friday",2
"723",9.45,"Monday",3
"724",9.45,"Tuesday",5
"725",9.45,"Wednesday",5
"726",9.46666666666667,"Monday",1
"727",9.46666666666667,"Thursday",5
"728",9.46666666666667,"Tuesday",5
"729",9.46666666666667,"Wednesday",1
"730",9.48333333333333,"Friday",2
"731",9.48333333333333,"Monday",5
"732",9.48333333333333,"Thursday",5
"733",9.48333333333333,"Tuesday",2
"734",9.48333333333333,"Wednesday",6
"735",9.5,"Friday",5
"736",9.5,"Monday",5
"737",9.5,"Thursday",3
"738",9.5,"Tuesday",4
"739",9.5,"Wednesday",2
"740",9.51666666666667,"Friday",4
"741",9.51666666666667,"Monday",2
"742",9.51666666666667,"Tuesday",7
"743",9.51666666666667,"Wednesday",3
"744",9.53333333333333,"Friday",1
"745",9.53333333333333,"Monday",2
"746",9.53333333333333,"Thursday",2
"747",9.53333333333333,"Tuesday",2
"748",9.53333333333333,"Wednesday",6
"749",9.55,"Friday",1
"750",9.55,"Monday",3
"751",9.55,"Thursday",4
"752",9.55,"Tuesday",2
"753",9.55,"Wednesday",1
"754",9.56666666666667,"Friday",2
"755",9.56666666666667,"Monday",6
"756",9.56666666666667,"Thursday",2
"757",9.56666666666667,"Tuesday",3
"758",9.56666666666667,"Wednesday",2
"759",9.58333333333333,"Friday",4
"760",9.58333333333333,"Monday",1
"761",9.58333333333333,"Thursday",5
"762",9.58333333333333,"Tuesday",1
"763",9.58333333333333,"Wednesday",3
"764",9.6,"Friday",2
"765",9.6,"Monday",4
"766",9.6,"Tuesday",7
"767",9.6,"Wednesday",1
"768",9.61666666666667,"Friday",2
"769",9.61666666666667,"Monday",8
"770",9.61666666666667,"Thursday",3
"771",9.61666666666667,"Tuesday",4
"772",9.61666666666667,"Wednesday",2
"773",9.63333333333333,"Friday",5
"774",9.63333333333333,"Thursday",3
"775",9.63333333333333,"Tuesday",8
"776",9.63333333333333,"Wednesday",4
"777",9.65,"Friday",2
"778",9.65,"Monday",3
"779",9.65,"Thursday",3
"780",9.65,"Tuesday",7
"781",9.65,"Wednesday",4
"782",9.66666666666667,"Friday",3
"783",9.66666666666667,"Monday",6
"784",9.66666666666667,"Thursday",3
"785",9.66666666666667,"Tuesday",4
"786",9.66666666666667,"Wednesday",6
"787",9.68333333333333,"Monday",6
"788",9.68333333333333,"Thursday",3
"789",9.68333333333333,"Tuesday",4
"790",9.68333333333333,"Wednesday",4
