,APOBEC 2 ,Background  
MMRF_1628_2_BM,0.251289888,0.748710112
MMRF_1231_1_BM,0.250571438,0.749428562
MMRF_2251_1_BM,0.250419409,0.749580591
MMRF_1236_3_BM,0.24992082,0.75007918
MMRF_2112_1_BM,0.249731862,0.750268138
MMRF_2089_3_PB,0.249354973,0.750645027
MMRF_2426_1_BM,0.249014771,0.750985229
MMRF_2089_2_BM,0.248955921,0.751044079
MMRF_1637_2_BM,0.248671125,0.751328875
MMRF_1433_2_BM,0.248160371,0.751839629
MMRF_1781_1_BM,0.247333328,0.752666672
MMRF_1100_1_BM,0.246814345,0.753185655
MMRF_2017_2_BM,0.246554529,0.753445471
MMRF_1777_1_BM,0.246536233,0.753463767
MMRF_2081_1_BM,0.246442893,0.753557107
MMRF_2270_1_BM,0.245450393,0.754549607
MMRF_2826_1_BM,0.24487665,0.75512335
MMRF_1433_5_BM,0.244401117,0.755598883
MMRF_1694_4_BM,0.243795312,0.756204688
MMRF_2461_1_BM,0.243084025,0.756915975
MMRF_2539_1_BM,0.242947322,0.757052678
MMRF_2611_1_BM,0.242086296,0.757913704
MMRF_2172_1_BM,0.241412864,0.758587136
MMRF_2755_1_BM,0.241372006,0.758627994
MMRF_2630_1_BM,0.240756459,0.759243541
MMRF_2204_1_BM,0.239015799,0.760984201
MMRF_2835_1_BM,0.238780666,0.761219334
MMRF_1656_4_BM,0.238666665,0.761333335
MMRF_2473_1_BM,0.238629174,0.761370826
MMRF_2271_1_BM,0.238622919,0.761377081
MMRF_2690_1_BM,0.238570032,0.761429968
MMRF_2326_1_BM,0.237733858,0.762266142
MMRF_1266_1_BM,0.237369284,0.762630716
MMRF_2853_1_BM,0.237310938,0.762689062
MMRF_1825_1_BM,0.237249339,0.762750661
MMRF_1891_1_BM,0.237120547,0.762879453
MMRF_1927_2_BM,0.236765582,0.763234418
MMRF_2702_1_BM,0.236388228,0.763611772
MMRF_2799_1_BM,0.235974177,0.764025823
MMRF_2239_1_BM,0.235460716,0.764539284
MMRF_2291_1_BM,0.234055893,0.765944107
MMRF_1784_1_BM,0.233213008,0.766786992
MMRF_2643_1_BM,0.233205891,0.766794109
MMRF_1224_3_BM,0.232970961,0.767029039
MMRF_2290_1_BM,0.232945595,0.767054405
MMRF_1462_1_BM,0.232573175,0.767426825
MMRF_1627_1_BM,0.232545871,0.767454129
MMRF_2072_2_BM,0.232514057,0.767485943
MMRF_1167_1_BM,0.232463629,0.767536371
MMRF_2383_1_BM,0.232139323,0.767860677
MMRF_1676_1_BM,0.231275609,0.768724391
MMRF_1520_1_BM,0.230721336,0.769278664
MMRF_2908_1_BM,0.23017889,0.76982111
MMRF_2444_1_BM,0.229114814,0.770885186
MMRF_1862_1_BM,0.228576017,0.771423983
MMRF_2851_1_BM,0.228479332,0.771520668
MMRF_1506_1_BM,0.228328495,0.771671505
MMRF_2478_1_BM,0.226768859,0.773231141
MMRF_1810_1_BM,0.226121186,0.773878814
MMRF_2019_1_BM,0.225991431,0.774008569
MMRF_1643_1_BM,0.225482378,0.774517622
MMRF_2666_1_BM,0.224289506,0.775710494
MMRF_1931_1_BM,0.223426547,0.776573453
MMRF_1628_1_BM,0.2222874,0.7777126
MMRF_1690_1_BM,0.222070673,0.777929327
MMRF_2413_1_BM,0.22131916,0.77868084
MMRF_2480_1_BM,0.221087774,0.778912226
MMRF_1496_2_BM,0.220190628,0.779809372
MMRF_2197_1_BM,0.220066543,0.779933457
MMRF_1731_2_BM,0.220023736,0.779976264
MMRF_2730_1_BM,0.219733553,0.780266447
MMRF_2153_1_BM,0.218114248,0.781885752
MMRF_2848_1_BM,0.217072404,0.782927596
MMRF_1627_3_BM,0.216711279,0.783288721
MMRF_2694_1_BM,0.21656474,0.78343526
MMRF_1915_1_BM,0.216475409,0.783524591
MMRF_2090_1_BM,0.215739333,0.784260667
