	Feature	score
741	ENSG00000158869	21
742	ENSG00000159164	-1
743	ENSG00000159189	3
744	ENSG00000159307	4
745	ENSG00000159335	10
746	ENSG00000159339	17
747	ENSG00000159433	57
748	ENSG00000159618	5
749	ENSG00000159713	12
750	ENSG00000160013	27
751	ENSG00000160221	-12
752	ENSG00000160255	8
753	ENSG00000160284	-1
754	ENSG00000160307	73
755	ENSG00000160326	-14
756	ENSG00000160360	-7
757	ENSG00000160593	1
758	ENSG00000160789	3
759	ENSG00000160791	0
760	ENSG00000160883	33
761	ENSG00000161642	6
762	ENSG00000161681	24
763	ENSG00000161835	55
764	ENSG00000161921	3
765	ENSG00000161929	13
766	ENSG00000161944	2
767	ENSG00000162104	33
768	ENSG00000162174	36
769	ENSG00000162367	17
770	ENSG00000162496	73
771	ENSG00000162591	2
772	ENSG00000162599	12
773	ENSG00000162645	16
774	ENSG00000162654	50
775	ENSG00000162676	17
776	ENSG00000162745	1
777	ENSG00000162747	-7
778	ENSG00000162772	-2
779	ENSG00000163106	103
780	ENSG00000163131	13
781	ENSG00000163171	37
782	ENSG00000163191	20
783	ENSG00000163220	20
784	ENSG00000163221	2
785	ENSG00000163393	53
786	ENSG00000163412	-7
787	ENSG00000163421	15
788	ENSG00000163462	17
789	ENSG00000163519	19
790	ENSG00000163534	-4
791	ENSG00000163554	-16
792	ENSG00000163563	1
793	ENSG00000163564	21
794	ENSG00000163625	19
795	ENSG00000163661	6
796	ENSG00000163694	37
797	ENSG00000163701	41
798	ENSG00000163734	0
799	ENSG00000163736	21
800	ENSG00000163737	26
801	ENSG00000163751	33
802	ENSG00000163814	12
803	ENSG00000163823	18
804	ENSG00000163993	18
805	ENSG00000164023	43
806	ENSG00000164047	4
807	ENSG00000164050	11
808	ENSG00000164056	61
809	ENSG00000164111	41
810	ENSG00000164116	12
811	ENSG00000164120	45
812	ENSG00000164125	16
813	ENSG00000164236	12
814	ENSG00000164251	28
815	ENSG00000164292	30
816	ENSG00000164626	29
817	ENSG00000164741	61
818	ENSG00000164821	1
819	ENSG00000164825	24
820	ENSG00000164853	51
821	ENSG00000164877	12
822	ENSG00000164929	86
823	ENSG00000164930	39
824	ENSG00000165030	18
825	ENSG00000165072	3
826	ENSG00000165092	20
827	ENSG00000165140	31
828	ENSG00000165168	15
829	ENSG00000165178	34
830	ENSG00000165272	32
831	ENSG00000165300	2
832	ENSG00000165449	31
833	ENSG00000165646	40
834	ENSG00000165655	63
835	ENSG00000165702	0
836	ENSG00000165716	20
837	ENSG00000165757	23
838	ENSG00000165929	23
839	ENSG00000166002	30
840	ENSG00000166025	22
841	ENSG00000166123	25
842	ENSG00000166126	19
843	ENSG00000166145	19
844	ENSG00000166165	-1
845	ENSG00000166265	11
846	ENSG00000166278	29
847	ENSG00000166341	42
848	ENSG00000166401	10
849	ENSG00000166428	14
850	ENSG00000166482	15
851	ENSG00000166503	-9
852	ENSG00000166523	1
853	ENSG00000166527	2
854	ENSG00000166681	40
855	ENSG00000166743	21
856	ENSG00000166770	52
857	ENSG00000166825	6
858	ENSG00000166831	25
859	ENSG00000166927	8
860	ENSG00000166928	13
861	ENSG00000166947	-6
862	ENSG00000166963	17
863	ENSG00000167081	74
864	ENSG00000167123	24
865	ENSG00000167207	23
866	ENSG00000167286	18
867	ENSG00000167419	51
868	ENSG00000167483	16
869	ENSG00000167600	49
870	ENSG00000167642	51
871	ENSG00000167664	97
872	ENSG00000167703	15
873	ENSG00000167815	-7
874	ENSG00000167850	16
875	ENSG00000167851	3
876	ENSG00000167880	30
877	ENSG00000167912	25
878	ENSG00000168056	34
879	ENSG00000168060	38
880	ENSG00000168077	42
881	ENSG00000168209	28
882	ENSG00000168268	15
883	ENSG00000168329	21
884	ENSG00000168461	9
885	ENSG00000168497	45
886	ENSG00000168528	21
887	ENSG00000168671	29
888	ENSG00000168685	0
889	ENSG00000168916	82
890	ENSG00000168995	35
891	ENSG00000169083	108
892	ENSG00000169184	95
893	ENSG00000169224	2
894	ENSG00000169252	46
895	ENSG00000169385	25
896	ENSG00000169397	20
897	ENSG00000169398	84
898	ENSG00000169403	26
899	ENSG00000169413	14
900	ENSG00000169429	-3
901	ENSG00000169432	37
902	ENSG00000169442	14
903	ENSG00000169508	5
904	ENSG00000169575	8
905	ENSG00000169704	31
906	ENSG00000169715	33
907	ENSG00000169752	75
908	ENSG00000169855	-17
909	ENSG00000169877	-7
910	ENSG00000169896	16
911	ENSG00000169908	68
912	ENSG00000170085	14
913	ENSG00000170180	-9
914	ENSG00000170345	8
915	ENSG00000170396	28
916	ENSG00000170421	39
917	ENSG00000170439	47
918	ENSG00000170458	23
919	ENSG00000170476	5
920	ENSG00000170542	9
921	ENSG00000170549	34
922	ENSG00000170558	5
923	ENSG00000170627	2
924	ENSG00000170689	5
925	ENSG00000170801	13
926	ENSG00000170837	0
927	ENSG00000170873	4
928	ENSG00000170891	54
929	ENSG00000170893	81
930	ENSG00000170909	15
931	ENSG00000170962	57
932	ENSG00000171049	5
933	ENSG00000171051	4
934	ENSG00000171101	1
935	ENSG00000171115	8
936	ENSG00000171236	57
937	ENSG00000171298	-3
938	ENSG00000171316	9
939	ENSG00000171476	37
940	ENSG00000171502	12
941	ENSG00000171509	57
942	ENSG00000171596	9
943	ENSG00000171643	0
944	ENSG00000171659	11
945	ENSG00000171729	0
946	ENSG00000171766	53
947	ENSG00000171777	-4
948	ENSG00000171843	71
949	ENSG00000171860	22
950	ENSG00000172005	1
951	ENSG00000172037	23
952	ENSG00000172059	23
953	ENSG00000172216	11
954	ENSG00000172232	29
955	ENSG00000172236	18
956	ENSG00000172243	18
957	ENSG00000172247	4
958	ENSG00000172260	7
959	ENSG00000172322	8
960	ENSG00000172340	61
961	ENSG00000172543	21
962	ENSG00000172594	-4
963	ENSG00000172817	29
964	ENSG00000172889	23
965	ENSG00000172995	45
966	ENSG00000173083	28
967	ENSG00000173334	11
968	ENSG00000173369	4
969	ENSG00000173372	9
970	ENSG00000173482	71
971	ENSG00000173762	19
972	ENSG00000173801	31
973	ENSG00000173868	8
974	ENSG00000173894	37
975	ENSG00000173917	101
976	ENSG00000173930	11
977	ENSG00000174059	66
978	ENSG00000174080	39
979	ENSG00000174175	4
980	ENSG00000174233	45
981	ENSG00000174403	64
982	ENSG00000174669	37
983	ENSG00000174776	11
984	ENSG00000174837	28
985	ENSG00000174944	31
986	ENSG00000175040	-4
987	ENSG00000175130	20
