"2016-2017 IMMUNIZATION STATUS OF KINDERGARTEN STUDENTS, CALIFORNIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schools with 20 or more students enrolled that reported and schools that did not report.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,
SCHOOL CODE,COUNTY,PUB/  PRIV,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,UP-TO-DATE†,,CONDI- TIONAL^,,PME**,,PBE***,,OTHERS§ ,,OVERDUE ††,,DTP†††,,POLIO¥,,MMR‡,,HEPB‡‡,,VAR¶,,REPORTED¶¶
,,,,,,,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,
6000764,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,O. N. HIRSCH ELEMENTARY,48,--*,≥95%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y
6090542,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,OLIVEIRA ELEMENTARY,213,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6000798,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,PARKMONT ELEMENTARY,192,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6000806,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,PATTERSON ELEMENTARY,51,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6090559,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,STEVEN MILLARD ELEMENTARY,80,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6000715,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,TOM MALONEY ELEMENTARY,97,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6000830,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,VALLEJO MILL ELEMENTARY,96,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6089619,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,WARWICK ELEMENTARY,144,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6062160,ALAMEDA,PUBLIC,HAYWARD UNIFIED,CASTRO VALLEY,STROBRIDGE ELEMENTARY,70,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6000889,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,BOWMAN ELEMENTARY,51,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
