"","c2.geneId","c2.symbol","c2.uniprotId","c0.score","Gene.Name","Gene.ID","Brodmann..1909..area.24","Brodmann..1909..area.9","amygdala","caudate.nucleus","cerebellar.hemisphere","cerebellum","cerebral.cortex","hippocampus.proper","hypothalamus","nucleus.accumbens","pituitary.gland","putamen","substantia.nigra","Human.GeneID","Mouse.GeneID","phenotype.x","genes.x","phenotype.y","genes.y","idgTDL","uniprotId"
"994",53407,"STX18","Q9P2W9",0.0002747267842131,"STX18","ENSG00000168818",4,4,3,4,5,6,5,3,5,5,11,4,4,53407,NA,NA,NA,NA,NA,NA,NA
"995",4756,"NEO1","Q92859",0.0002747267842131,"NEO1","ENSG00000067141",8,8,9,10,7,8,8,9,8,9,4,9,9,4756,NA,NA,NA,NA,NA,NA,NA
"996",4781,"NFIB","O00712",0.0002747267842131,"NFIB","ENSG00000147862",5,5,5,5,10,10,5,5,4,4,2,4,4,4781,NA,NA,NA,NA,NA,NA,NA
"997",53942,"CNTN5","O94779",0.0002747267842131,"CNTN5","ENSG00000149972",0.8,0.8,0.5,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,53942,NA,NA,NA,NA,NA,NA,NA
"998",2908,"NR3C1","P04150",0.0002747267842131,"NR3C1","ENSG00000113580",4,5,3,4,10,9,5,4,4,4,8,3,4,2908,NA,NA,NA,NA,"NR3C1","Tclin","P04150"
"999",30010,"NXPH1","P58417",0.0002747267842131,"NXPH1","ENSG00000122584",6,5,4,3,1,1,3,3,7,3,0.7,3,3,30010,NA,NA,NA,NA,NA,NA,NA
"1000",275,"AMT","P48728",0.0002747267842131,"AMT","ENSG00000145020",3,3,3,5,16,19,6,3,3,5,16,4,3,275,NA,NA,NA,NA,NA,NA,NA
"1001",26610,"ELP4","Q96EB1",0.0002747267842131,"ELP4","ENSG00000109911",4,4,4,5,7,7,4,3,4,4,3,4,4,26610,NA,NA,NA,NA,NA,NA,NA
"1002",2664,"GDI1","P31150",0.0002747267842131,"GDI1","ENSG00000203879",115,143,80,81,152,160,144,90,108,96,101,82,78,2664,NA,NA,NA,NA,NA,NA,NA
"1003",2670,"GFAP","P14136",0.0002747267842131,"GFAP","ENSG00000131095",537,413,838,779,207,274,511,1106,1837,464,6,519,1868,2670,NA,NA,NA,NA,NA,NA,NA
"1004",27330,"RPS6KA6","Q9UK32",0.0002747267842131,"RPS6KA6","ENSG00000072133",1,1,0.7,1,2,2,1,0.7,1,2,5,1,0.6,27330,NA,NA,NA,NA,NA,NA,NA
"1005",3029,"HAGH","Q16775",0.0002747267842131,"HAGH","ENSG00000063854",11,12,8,9,14,12,12,9,10,9,13,9,9,3029,NA,NA,NA,NA,NA,NA,NA
"1006",30816,"ERVW-1","Q9UQF0",0.0002747267842131,"ERVW-1","ENSG00000242950",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,30816,NA,NA,NA,NA,NA,NA,NA
"1007",3382,"ICA1","Q05084",0.0002747267842131,"ICA1","ENSG00000003147",5,7,3,4,11,10,8,3,4,5,8,4,2,3382,NA,NA,NA,NA,NA,NA,NA
"1008",340533,"KIAA2022","Q5QGS0",0.0002747267842131,"KIAA2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340533,NA,NA,NA,NA,NA,NA,NA
"1009",340719,"NANOS1","Q8WY41",0.0002747267842131,"NANOS1","ENSG00000188613",1,0.9,1,1,0.8,1,1,0.8,2,2,0.7,0.9,0.9,340719,NA,NA,NA,NA,NA,NA,NA
"1010",349075,"ZNF713","Q8N859",0.0002747267842131,"ZNF713","ENSG00000178665",0.5,0.5,0.5,0.6,0.5,0.6,0.5,0.6,0.6,0.5,1,NA,0.6,349075,NA,NA,NA,NA,NA,NA,NA
"1011",3552,"IL1A","P01583",0.0002747267842131,"IL1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3552,NA,NA,NA,NA,NA,NA,NA
"1012",3630,"INS","P01308",0.0002747267842131,"INS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3630,NA,NA,NA,NA,NA,NA,NA
"1013",3708,"ITPR1","Q14643",0.0002747267842131,"ITPR1","ENSG00000150995",10,14,2,7,5,24,14,3,2,6,7,4,2,3708,NA,NA,NA,NA,NA,NA,NA
"1014",3082,"HGF","P14210",0.0002747267842131,"HGF","ENSG00000019991",0.6,0.6,NA,NA,NA,NA,0.6,NA,NA,NA,0.8,NA,NA,3082,NA,NA,NA,NA,NA,NA,NA
"1015",3766,"KCNJ10","P78508",0.0002747267842131,"KCNJ10","ENSG00000177807",32,24,30,39,7,12,27,29,21,31,NA,39,38,3766,NA,NA,NA,NA,NA,NA,NA
