county,year_week,case_mean,case_mean_per100thou,next_week_mean,next_week_per100thou,next_week_increase,vacc_incidence_n,vacc_incidence_per100thou,mean_per_pop_fully_vacc,mean_fully_vacc_n,vacc_prevalence_per100thou,mean_retail_rec,mean_grocery_pharm,mean_parks,mean_transit_stations,mean_workplaces,mean_residential
Gloucester County,2021 - 19,35.95918571428572,12.330160101731513,21.632628571428572,7.417681140678302,0,1051.7142857142858,360.62567231558717,37.2,108562.42857142857,37225.31805793131,-4.428571428571429,1.5714285714285714,121.14285714285714,-24.857142857142858,-29.285714285714285,5.142857142857143
Gloucester County,2021 - 20,21.632628571428572,7.417681140678302,16.224505714285716,5.5632726118468625,0,650,222.88057715782688,39.2,114324.85714285714,39201.21560536324,-4.285714285714286,4.285714285714286,131,-24.571428571428573,-27.285714285714285,5
Gloucester County,2021 - 21,16.224505714285716,5.5632726118468625,9.22449142857143,3.163015343980657,0,458.2857142857143,157.14305308182605,40.52857142857143,118209.85714285714,40533.35567037579,-5.571428571428571,2,75.42857142857143,-33.57142857142857,-27.142857142857142,6.142857142857143
Gloucester County,2021 - 22,9.22449142857143,3.163015343980657,8.836744285714285,3.0300594870709667,0,371.57142857142856,127.40931454670499,41.41428571428572,120813,41425.955643336216,-4.714285714285714,1,99.71428571428571,-36.285714285714285,-31.428571428571427,6.857142857142857
Gloucester County,2021 - 23,8.836744285714285,3.0300594870709667,6.489795714285714,2.225306791440602,0,679.1428571428571,232.87346457325472,42.81428571428572,124897,42826.33145427862,-3.2857142857142856,3.2857142857142856,92.42857142857143,-32.857142857142854,-24.428571428571427,5
Gloucester County,2021 - 24,6.489795714285714,2.225306791440602,6.612245714285715,2.2672940632451803,1,568.1428571428571,194.81231985861044,44.27142857142857,129118.42857142857,44273.83058724868,0.8571428571428571,6.428571428571429,116.28571428571429,-29.571428571428573,-26,4.142857142857143
Gloucester County,2021 - 25,6.612245714285715,2.2672940632451803,7.653061428571428,2.624182689575851,1,334,114.52632733956027,45.31428571428572,132142.14285714287,45310.64164134156,-4.285714285714286,1.4285714285714286,110.14285714285714,-32.142857142857146,-30.571428571428573,4.714285714285714
Gloucester County,2021 - 26,7.653061428571428,2.624182689575851,4.999998571428571,1.7144654882897075,0,288,98.75324034069868,46.128571428571426,134529.85714285713,46129.37262301538,-5.285714285714286,2,67.85714285714286,-32.714285714285715,-31.714285714285715,5.285714285714286
Gloucester County,2021 - 27,4.999998571428571,1.7144654882897075,7.938778571428571,2.7221531537356745,1,183,62.74945479981895,46.628571428571426,135955.14285714287,46618.09339626893,-7.142857142857143,1,95.57142857142857,-34,-37.285714285714285,5.857142857142857
Gloucester County,2021 - 28,7.938778571428571,2.7221531537356745,16.18367142857143,5.549270813127127,1,160.71428571428572,55.1078350115506,47.05714285714286,137217.7142857143,47051.02054811967,-4.571428571428571,2.4285714285714284,91.14285714285714,-33.42857142857143,-30.571428571428573,4.857142857142857
Gloucester County,2021 - 29,16.18367142857143,5.549270813127127,24.734671428571428,8.481350528937247,1,184.28571428571428,63.19031747991135,47.48571428571429,138433.57142857142,47467.92968926039,-4.142857142857143,3,103.71428571428571,-31.285714285714285,-29.571428571428573,4.285714285714286
Gloucester County,2021 - 30,24.734671428571428,8.481350528937247,38.714285714285715,13.274865145004636,1,221.71428571428572,76.02431994482359,47.94285714285714,139804.57142857142,47938.03626046559,-5.142857142857143,3,89.42857142857143,-32.42857142857143,-29.857142857142858,5
