county,state,cocaineDeath,year,fips,meanHouseholdSize,prevDisabled,gini,prevHispanic,medianAge,prevMedicaid,prevMinBachelors,prevBlack,prevWhite,perCapIncome,prevMen,nPop,prevPoverty,medianRentCostBurden,prevNoCar,totalJailAdmit,jailAdmit100k
Chittenden,VT,50,2015-2019,50007,12.08,11.92,0.45,2.34,2.31,37,17.64,51.32,2.59,88.51,39062,49.07,162646,32.6,7.70,0,0
Clark,NV,196,2015-2019,32003,13.70,12.05,0.47,31.14,2.76,37,19.47,24.46,11.23,42.77,30704,49.92,2182004,30.8,8.07,569980,1141786858.974359
Clark,OH,133,2015-2019,39023,14.90,17.06,0.43,3.43,2.41,41,27.11,18.71,8.04,84.06,27066,48.42,134726,26.7,7.37,19421.25,40109975.21685254
Clay,FL,87.5,2015-2019,12019,10.24,13.52,0.42,9.93,2.83,40,15.49,24.95,10.28,72.74,30483,49.34,211405,29.5,3.08,26000,52695581.6781516
Clayton,GA,60,2015-2019,13063,18.57,10.78,0.41,13.22,2.95,33,26.04,19.52,68.33,10.07,20970,46.82,283538,30.9,7.71,97787.5,208858393.8487826
Clermont,OH,70,2015-2019,39025,8.97,13.66,0.44,1.94,2.59,40,15.95,28.63,1.41,93.52,34390,49.22,204275,26.6,4.77,32618.75,66271332.79154815
Cobb,GA,96,2015-2019,13067,9.10,8.70,0.45,12.98,2.64,37,10.52,47.38,26.72,51.91,40031,48.39,751218,28.1,3.52,147140,304071089.0679893
Collier,FL,114,2015-2019,12021,11.21,11.51,0.53,27.92,2.57,51,13.43,36.41,6.68,62.83,45567,49.25,371453,32.9,4.84,47126.25,95687817.25888325
Collin,TX,52.5,2015-2019,48085,6.29,6.91,0.43,15.27,2.84,37,6.61,52.35,9.63,56.96,44548,49.2,973977,27.1,2.78,101146.25,205581808.94308943
Columbiana,OH,70,2015-2019,39029,14.31,15.96,0.44,1.78,2.39,44,23.25,14.86,1.99,93.92,26469,50.49,103190,27.0,6.84,11180,22142998.61358685
Contra Costa,CA,105,2015-2019,06013,8.70,11.19,0.47,25.59,2.87,40,18.68,42.35,8.40,43.83,48178,48.89,1142251,31.3,5.24,124735,255133974.22785848
