Gene_name,BMI_1,BMI_3,foldchange,ANOVA
RP11-986G18.2_46141,1.669822653,1.693180772,-0.02335812,0.845735562
RP11-989E6.1_46142,0.004172125,0.010523401,-0.006351277,0.495602402
RP11-989E6.10_46143,8.569545617,8.453425135,0.116120482,0.255804808
RP11-989E6.11_46144,0.932106998,0.902349272,0.029757726,0.763876398
RP11-989E6.13_46145,3.823693321,3.637073161,0.18662016,0.073505827
RP11-989E6.3_46146,1.636521462,1.582368923,0.054152539,0.732644814
RP11-989E6.8_46147,1.421826862,1.117927378,0.303899483,0.14626209
RP11-989F5.1_46148,2.890889631,2.949529404,-0.058639773,0.650690607
RP11-989F5.3_46149,2.058876173,1.995705225,0.063170948,0.630526407
RP11-989F5.4_46150,0.090707032,0.168438014,-0.077730982,0.096246157
RP11-98C1.2_46151,1.376605322,1.33142577,0.045179552,0.685094057
RP11-98D18.1_46152,0.532972182,0.615665223,-0.082693041,0.267378802
RP11-98D18.15_46153,1.45000625,1.41503338,0.03497287,0.548643705
RP11-98D18.16_46154,2.413401079,2.327470715,0.085930364,0.354743883
RP11-98D18.17_46155,1.722735784,1.51237872,0.210357064,0.075866303
RP11-98D18.2_46156,0.968920966,1.073727861,-0.104806895,0.218524755
RP11-98D18.3_46157,1.702125041,1.821263557,-0.119138517,0.212436393
RP11-98D18.7_46158,0.272098287,0.26831621,0.003782077,0.944699432
RP11-98D18.9_46159,6.435467009,6.389156676,0.046310333,0.481673292
RP11-98E6.1_46160,0.014962892,0,0.014962892,0.045668015
RP11-98F14.11_46161,2.535368137,2.585450066,-0.050081928,0.71507494
RP11-98G13.1_46162,0.062356121,0.034650975,0.027705146,0.348897901
RP11-98G7.1_46163,1.884232491,1.930108453,-0.045875963,0.702778083
RP11-98H4.1_46164,0.143123675,0.164283338,-0.021159663,0.693942265
RP11-98H4.4_46165,0.212704662,0.157870064,0.054834598,0.310480585
RP11-98I9.4_46166,6.803897129,6.742080906,0.061816223,0.393136207
RP11-98J23.1_46167,4.525707615,4.573556999,-0.047849384,0.560692669
RP11-98J23.2_46168,7.488949699,7.420198823,0.068750875,0.542087624
RP11-98J9.1_46169,0.060215164,0.053152312,0.007062852,0.827000592
RP11-98J9.2_46170,0.025776812,0.053659797,-0.027882984,0.305295975
RP11-98J9.3_46171,0.005317401,0,0.005317401,0.248698546
RP11-98L12.2_46172,0.089663749,0.091994324,-0.002330575,0.943976289
RP11-98L5.4_46173,1.449418032,1.398448662,0.05096937,0.775642335
RP11-98L5.5_46174,0.792234711,0.606754281,0.18548043,0.133196401
RP11-98O2.1_46175,3.693382293,3.639419892,0.0539624,0.472897432
RP11-98P2.1_46176,0,0.014069954,-0.014069954,0.217680658
RP11-991C1.1_46177,0.092821036,0.053746568,0.039074468,0.277165808
RP11-993B23.1_46178,0.005964368,0.003145118,0.00281925,0.65437556
RP11-993B23.3_46179,2.69579776,2.687280389,0.008517371,0.964183011
RP11-995C19.2_46180,2.246209305,2.440117528,-0.193908223,0.030085324
RP11-996F15.2_46181,7.372670337,7.403657088,-0.030986751,0.70101098
RP11-996F15.4_46182,4.391922751,4.444459324,-0.052536572,0.609015908
RP11-996F15.5_46183,4.911116796,5.020351373,-0.109234577,0.296170942
RP11-996F15.6_46184,5.90306176,5.964226674,-0.061164915,0.548622891
RP11-998D10.1_46185,0.165491584,0.182947405,-0.017455821,0.688321241
RP11-998D10.4_46186,0.642897134,0.546116823,0.096780311,0.221398627
RP11-999E24.3_46187,1.405303279,1.171330554,0.233972725,0.166107901
RP11-99A1.2_46188,0.114902132,0.10599415,0.008907982,0.844134351
RP11-99A14.1_46189,2.774498269,2.796870218,-0.022371949,0.81988026
RP11-99C10.1_46190,2.730051225,2.695846039,0.034205186,0.819093801
RP11-99E15.2_46191,0.069219855,0.032544696,0.036675159,0.19189002
RP11-99E15.3_46192,0,0.005796685,-0.005796685,0.382428906
RP11-99H20.1_46193,1.146889958,1.228862349,-0.081972391,0.436116823
RP11-99H8.1_46194,3.220572294,3.161852314,0.058719981,0.478247424
RP11-99J16__A.2_46195,1.193748037,1.16598338,0.027764658,0.822911615
RP11-99L13.1_46196,0.040857312,0.071665817,-0.030808504,0.393940455
RP11-99L13.2_46197,0.159047172,0.196099865,-0.037052693,0.535303953
RP11-9B6.1_46198,0,0.002658118,-0.002658118,0.382428906
RP11-9D8.1_46199,0.357505279,0.310760267,0.046745012,0.421631634
RP11-9E13.4_46200,0.652485826,0.67769443,-0.025208604,0.754685154
RP11-9E17.1_46201,7.170334355,7.267069646,-0.096735292,0.307094529
RP11-9G1.3_46202,4.87650485,4.702700433,0.173804418,0.110605723
RP11-9G10.1_46203,0,0,0,NA
RP11-9H20.2_46204,2.469064754,2.534315894,-0.06525114,0.597226553
RP11-9L18.2_46205,1.805631544,1.811697889,-0.006066345,0.8855845
RP11-9L18.3_46206,3.790017439,3.813110364,-0.023092925,0.771674799
RP11-9M16.2_46207,2.003875861,2.226619021,-0.22274316,0.046085126
RP11-9M16.3_46208,3.87175949,3.889440816,-0.017681326,0.918092681
RP11-9N12.2_46209,0.58930349,0.355785983,0.233517507,0.01761508
RP11-9N12.3_46210,0.077360508,0.016261758,0.06109875,0.021003839
RP11-9N20.3_46211,2.348804572,2.286754296,0.062050276,0.683646101
RP13-1016M1.2_46212,0.060931113,0.017594523,0.04333659,0.035867246
RP13-1032I1.10_46213,5.806363741,6.073504432,-0.267140691,0.161219855
RP13-1032I1.11_46214,0.969063833,0.995344436,-0.026280603,0.441749978
RP13-1032I1.7_46215,8.424883013,8.40733928,0.017543733,0.795205652
RP13-1039J1.2_46216,2.533806785,2.430007117,0.103799667,0.3292049
RP13-1039J1.3_46217,0.760486176,0.855281199,-0.094795023,0.045958116
RP13-1039J1.4_46218,1.393079698,1.372028831,0.021050867,0.800518679
RP13-104F24.1_46219,6.359331782,6.433868973,-0.074537191,0.432356742
RP13-104F24.2_46220,8.615107893,8.666770266,-0.051662374,0.41352748
RP13-104F24.3_46221,6.527943936,6.58586751,-0.057923574,0.504969041
