"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","CRASH_YEAR","COUNTY","COUNTY_YEAR","DISTRICT_NAME","COUNTY_NAME","MUNICIPALITY_NAME"
"2018030121","2","0","","8","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018128572","1","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018041777","1","0","PA","6","PT4586T ","2008","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018038714","1","0","TN","6","U649723 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018020323","1","0","MN","7","1776STJ     ","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018066636","2","0","PA","7","PT5183W ","2020","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018054230","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018032210","2","0","","1","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018129422","3","0","","6","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018028822","1","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018076300","2","0","NJ","7","TPX94P ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018121992","1","0","","8","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018112381","1","0","ME","7","209547C     ","2001","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018139651","1","0","IL","7","664732ST    ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018051518","1","0","ME","7","217455C     ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018108835","1","0","IN","7","P689759 ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018095820","2","0","","8","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018025349","1","0","PA","7","PT8877P ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018054047","1","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018130280","3","0","IL","7","537274ST    ","2015","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2019000024","2","0","TN","7","U783831 ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018077805","1","0","ME","7","B632896 ","2019","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018031196","2","0","PA","7","PT9487Z ","2018","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018013665","1","0","PA","7","PT9611V ","2013","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018127462","1","0","","9","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018130403","1","0","","1","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018137171","2","0","ZZ","7","999999999999","9999","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018091623","5","0","ME","7","2281570     ","2020","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018075392","2","0","CA","7","4PZ4311     ","2022","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
"2018054085","2","0","","3","","","2018","67","TRAILVEH_2018_Philadelphia","District 6-0","Philadelphia","Philadelphia City"
