"AXLE_CNT","CARGO_BD_TYPE","UNIT_NUM","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","CRASH_YEAR","CRN","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","USDOT_NUM","VEH_CONFIG_CD","COUNTY","DISTRICT","MUNICIPALITY","DISTRICT_NAME","COUNTY_NAME","MUNICIPALITY_NAME"
"99","9","1","505 GRANT AVENUE","","CROYDON","PA","19021","JIM F DAVIS TRUCKING","9999999999","2018","2018028800","073280","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","1","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2018","2018028804","999999","","","","","N","","","","","","N","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","1","667 SOUTH AVE","","SECANE","PA","19018","HYBRID TRUX LLC","9999999999","2018","2018028822","999999","","","","","N","","","","","","N","","","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","2","200 MOTOR PKWY STE S21","","HAUPPAGE","NY","11788","ASTRALEASE ASSOCIATES INC","9999999999","2018","2018029675","073280","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"02","9","2","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","2018","2018029863","","","","","","","","","","","","","","99999999","99","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","6","7777 ESSINGTON AVE","","PHILADELPHIA","PA","19153","BENTLEY TRUCK SERVICES INC","2153783951","2018","2018029866","025950","","","","","N","","","","","","N","","","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","2","100 BELMONT AVE","","BALA CYNWYD","PA","19004","BALA MOTORSPORTS","9999999999","2018","2018029902","999999","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","1","18 HENLEY RD","","WYNNEWOOD","PA","19096","RCTC SERVICES INC","9999999999","2018","2018029960","019500","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","1","653 ALLENGROVE ST","","PHILA","PA","19120","WATSON","9999999999","2018","2018029969","011000","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","1","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2018","2018029995","999999","","","","","N","","","","","","N","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","2","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2018","2018030010","999999","","","","","N","","","","","","N","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","2","1234 MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","9999999999","2018","2018030011","999999","","","","","N","","","","","","N","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","1","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2018","2018030018","999999","","","","","N","","","","","","N","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","1","UNKNOWN","","UNKNOWN","ZZ","99999","JB HUNT TRANSPORT INC.","9999999999","2018","2018030043","999999","","","","","N","","","","","","N","","","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","1","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","2018","2018030098","999999","","","","","N","","","","","","N","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","1","3","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","2018","2018030126","999999","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","1","1234MARKET ST","","PHILADELPHIA","PA","19107","S PA TRANSPORTATION","2155807800","2018","2018030130","999999","","","","","N","","","","","","N","","00003055","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","1","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2018","2018030156","999999","","","","","N","","","","","","","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","1","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","2018","2018030308","999999","","","","","N","","","","","","","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","1","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2018","2018030315","999999","","","","","N","","","","","","N","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"03","9","3","14507 FRONTIER RD","","OMAHA","NE","68138","WENER ENERPRISES INC","9999999999","2018","2018030370","046000","","","","","N","","","","","","N","","00053467","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","1","1","UNKNOWN","","UNNOWN","ZZ","99999-9999","UNKNOWN","9999999999","2018","2018030436","","","","","","N","","","","","","U","","99999999","09","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","2","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","2018","2018030637","012000","","","","","N","","","","","","N","","","99","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","2","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2018","2018030675","999999","","","","","N","","","","","","N","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","1","666 GARLAND PLACE","","DES PLAINES","IL","60016","WHEELS LTD","9999999999","2018","2018030686","019500","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","2","UNKNOWN","","UNKNOWN","ZZ","99999","SALEM TRUCK LEASING","9999999999","2018","2018030710","999999","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","1","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2018","2018030726","999999","","","","","N","","","","","","","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","1","6159 PASSYUNK AVE","","PHILA","PA","19153","DELAWARE VLY TOW","9999999999","2018","2018030845","999999","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","2","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","2018","2018030910","999999","","","","","N","","","","","","N","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"02","8","2","1234 MARKET STREET","","PHILADELPHIA","PA","19107","SEPTA","3024203143","2018","2018030927","999999","","","","","N","","","","","","N","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","2","155 BROADVIEW RD","","SPRINGFIELD","PA","19064","KORTAN GENERAL MAINTENANCE INC","9999999999","2018","2018030933","012000","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","2","915 S BLACK HORSE PK","","BLACKWOOD","NJ","08012","AP CONSTRUCTION INC","9999999999","2018","2018030983","999999","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"06","1","1","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","2018","2018031036","999999","","","","","N","","","","","","","","","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","1","DFGJHYDTGUKYJ","","GDKJFGDJK","OK","99999","EAN HOLDINGS LLC","9999999999","2018","2018031052","025999","","","","","N","","","","","","N","","","99","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"05","2","2","2700 W. PASSYUNK","","PHILADELPHIA","PA","19145","SUNOCO GAS","8007866261","2018","2018031196","080000","1","3","","","Y","1","1","","","","N","","00010328","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"03","4","1","248STONE RD","","BARTO","PA","19504","AGLIANO BROTHERS INC","6108424256","2018","2018031497","080000","","","","","N","","","","","","N","A-0045711","00613208","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","1","1901 PAPER MILL RD","","ORELAND","PA","19075","SCHOOL DISTRICT OF SPRINGFIELD","9999999999","2018","2018032130","999999","","","","","N","","","","","","N","","","10","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","2","1773 POTTSTOWN PIKE","","GLENMOORE","PA","19343","COLLISION INC","9999999999","2018","2018032161","063000","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","1","2","2809 S FRONT ST","","PHILA","PA","19148","BELL BEVERAGE INC","9999999999","2018","2018032186","025500","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","1","100 S BROAD ST3RD FLOO","","PHILA","PA","19110","CITY OF PHILADELPHIA","9999999999","2018","2018032200","010200","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","1","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","2018","2018032286","999999","","","","","N","","","","","","N","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"","9","4","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","2018","2018032303","","","","","","","","","","","","","","","99","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","1","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","2018","2018032313","999999","","","","","N","","","","","","N","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"02","8","1","1278 HOOKSETT RD.","","HOOKSETT","NH","03166","MERCHANTS AUTOMOTIVE GROUP INC","2672426526","2018","2018032318","999999","","","","","N","","","","","","N","","","10","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","5","1","3600 S 26TH PHILA PA","","PHILA","PA","19145","SJA CONSTRUCTION INC","9999999999","2018","2018032323","073280","","","","","N","","","","","","N","","","09","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"02","9","2","77 N BALTON HILL RD.","","FRAZER","PA","19355","R H BENEDIX INC","6108897472","2018","2018032326","019000","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","2","3021 FRANKS RD","","HUNTINGDON VY","PA","99999","MERCY AMBULANCE AND EMS INC","9999999999","2018","2018032331","999999","","","","","N","","","","","","N","","","10","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","4","1","UNKNOWN","","UNKNOWN","ZZ","99999-9999","UNKNOWN","9999999999","2018","2018032514","","","","","","N","","","","","","U","","99999999","09","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"03","1","2","8275 US RT 130","","PENSAUKEN","NJ","08110","CANADA DRY DELAWARE VALLY","8566614604","2018","2018033297","054000","","","","","N","","","","","","N","","00033335","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","0","2","116 N LIVELY BOULEVARD","","ELK GROVE VILLAGE","IL","60007","PENN TANK LINES","5705566717","2018","2018033952","080000","","","","","N","","","","","","N","","00264473","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"03","3","3","4010 COLUMBUS AVE","","SANDUSKY","OH","44870","SOUTH SHORE TRANSPORTATION CO. I","4196266267","2018","2018034017","080000","","","","","N","","","","","","N","","00247350","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","1","1","UNKNOWN","","UNKNOWN","ZZ","99999","JUST FOUR WHEELS INC","9999999999","2018","2018035874","999999","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","3","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","2018","2018035929","016500","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","8","1","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","2018","2018035929","999999","","","","","N","","","","","","N","","","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
