WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
EUR,MDA,Republic of Moldova (the),CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EUR,ROU,Romania,CRS,10,15,4,4,26,45,55,0,0,2,0,1,1,1,8,7,5,5,20,,
EUR,RUS,Russian Federation (the),CRS,0,0,0,1,0,0,0,0,1,1,5,8,10,2,2,2,,7,11,2,
AFR,RWA,Rwanda,CRS,,0,0,0,,,5,,,,,,,0,,0,0,,,0,
AMR,KNA,Saint Kitts and Nevis,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AMR,LCA,Saint Lucia,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,
AMR,VCT,Saint Vincent and the Grenadines,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,
WPR,WSM,Samoa,CRS,0,0,,,,,,0,0,9,,,0,0,1,,,0,,,
EUR,SMR,San Marino,CRS,0,0,0,,,,0,0,0,0,,0,0,0,0,0,,,0,,
AFR,STP,Sao Tome and Principe,CRS,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,
EMR,SAU,Saudi Arabia,CRS,1,3,0,0,,0,,,0,0,0,0,0,0,,0,0,0,,0,
AFR,SEN,Senegal,CRS,,0,0,,0,,,,,,,,,,,,,,,,
EUR,SRB,Serbia,CRS,0,0,,,0,0,0,0,0,0,0,,,,,,0,,,,
AFR,SYC,Seychelles,CRS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
AFR,SLE,Sierra Leone,CRS,,,,,,,,,,,,0,,,,,,,,,
WPR,SGP,Singapore,CRS,0,2,,,,1,2,2,0,0,2,0,0,,0,,1,4,2,2,
EUR,SVK,Slovakia,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EUR,SVN,Slovenia,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
WPR,SLB,Solomon Islands,CRS,0,,,,,0,,0,0,0,0,0,0,,,,0,0,,,
EMR,SOM,Somalia,CRS,,,,,,,,,,,,,,,,,,,,,
AFR,ZAF,South Africa,CRS,5,8,,32,1,,,,,,,,,,,,,,,,
AFR,SSD,South Sudan,CRS,,0,,0,0,,,,,,,,,,,,,,,,
EUR,ESP,Spain,CRS,0,0,0,,,1,3,0,0,1,2,0,0,5,1,1,0,0,0,1,
SEAR,LKA,Sri Lanka,CRS,0,0,0,0,4,4,12,3,8,3,0,0,2,0,20,61,8,13,26,19,
EMR,SDN,Sudan (the),CRS,1,5,9,,,,,,,,,,,,,,,,,,
AMR,SUR,Suriname,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
EUR,SWE,Sweden,CRS,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,,
EUR,CHE,Switzerland,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
EMR,SYR,Syrian Arab Republic (the),CRS,0,0,0,,,0,0,0,0,0,0,0,4,0,2,0,,1,,,
EUR,TJK,Tajikistan,CRS,0,0,0,,0,0,0,0,0,,0,,,,,,,0,0,0,
SEAR,THA,Thailand,CRS,0,0,0,0,0,0,2,,0,,,,,,,,,,,,
SEAR,TLS,Timor-Leste,CRS,0,0,0,0,0,,0,0,,0,0,0,,0,,,,,,,
AFR,TGO,Togo,CRS,0,11,3,,0,3,0,,,,,,,,,,,,,,
WPR,TON,Tonga,CRS,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
AMR,TTO,Trinidad and Tobago,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0
EMR,TUN,Tunisia,CRS,6,4,0,0,1,4,18,,,2,,,,,,,,,,,
EUR,TUR,Turkey,CRS,2,0,0,0,0,0,0,1,0,1,,0,,2,,,,,,,
EUR,TKM,Turkmenistan,CRS,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
WPR,TUV,Tuvalu,CRS,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AFR,UGA,Uganda,CRS,9,,,,,,,,,,,,,,,,,,,,
EUR,UKR,Ukraine,CRS,0,,0,,,,,2,,,0,0,,0,,,,0,,0,
EMR,ARE,United Arab Emirates (the),CRS,,,,,,,,,,,,,,,,0,,,0,,
EUR,GBR,United Kingdom of Great Britain and Northern Ireland (the),CRS,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,2,0,3,4,,
AFR,TZA,United Republic of Tanzania,CRS,2,0,1,41,,,,,,,,,,,,,,,,,
AMR,USA,United States of America (the),CRS,,5,2,1,0,1,3,0,0,2,0,0,1,1,1,0,3,3,7,8,6
AMR,URY,Uruguay,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EUR,UZB,Uzbekistan,CRS,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,
WPR,VUT,Vanuatu,CRS,0,,,,,,,,,,,,,,,,0,0,,,
AMR,VEN,Venezuela (Bolivarian Republic of),CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,
WPR,VNM,Viet Nam,CRS,15,19,18,4,1,3,92,189,,,,,,,,,,,,,
EMR,YEM,Yemen,CRS,,,,,,,,,,,,,,,,,,,,,
AFR,ZMB,Zambia,CRS,,0,0,3,10,0,0,0,0,0,0,0,0,0,,,,,,,
AFR,ZWE,Zimbabwe,CRS,,,3,,2,,63,,,0,,1,,,,,,,,,
