WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EMR,LBY,Libya,ntetanus,0,,,,,,0,,,0,0,0,0,0,,,0,0,,,0,0,0,,0,0,3,3,1,7,10,10,8,15,0,10,,,
EUR,LTU,Lithuania,ntetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
EUR,LUX,Luxembourg,ntetanus,,0,0,0,,,,,,0,0,0,0,,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFR,MDG,Madagascar,ntetanus,30,17,27,13,7,8,9,43,6,6,8,10,5,34,7,6,6,18,13,26,39,46,61,7,6,20,17,32,208,183,234,,,,,,,,
AFR,MWI,Malawi,ntetanus,9,3,2,2,1,7,1,8,4,7,5,7,6,6,11,7,7,15,12,6,1,8,1,6,14,37,84,,211,,,196,327,391,274,405,358,395,163
WPR,MYS,Malaysia,ntetanus,26,16,6,16,8,6,9,3,10,5,13,14,11,6,14,8,4,8,20,10,13,11,9,12,9,20,28,13,11,21,15,40,51,49,64,36,47,38,60
SEAR,MDV,Maldives,ntetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,4,1,3,1,,56,0,0,0,0,0,0,0,0,
AFR,MLI,Mali,ntetanus,10,7,8,8,13,12,10,11,7,13,6,19,17,20,25,37,37,34,73,29,31,9,37,33,28,40,73,171,203,230,,,,455,,,,,
EUR,MLT,Malta,ntetanus,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WPR,MHL,Marshall Islands (the),ntetanus,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0
AFR,MRT,Mauritania,ntetanus,0,3,2,2,6,,0,,1,1,2,0,0,,2,4,4,8,,9,11,1,,1,1,0,6,26,16,20,34,44,120,99,58,,,,
AFR,MUS,Mauritius,ntetanus,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,7,2,4
AMR,MEX,Mexico,ntetanus,0,1,2,0,1,0,0,1,3,0,1,4,4,1,4,4,0,6,9,7,25,44,64,67,83,98,137,152,145,87,108,84,57,0,0,0,0,0,0
WPR,FSM,Micronesia (Federated States of),ntetanus,0,0,0,0,0,,,,,0,,0,0,0,0,1,,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,
EUR,MCO,Monaco,ntetanus,,,,,,,,,,,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WPR,MNG,Mongolia,ntetanus,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUR,MNE,Montenegro,ntetanus,,,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,MAR,Morocco,ntetanus,3,,,,,1,4,4,7,1,8,4,4,,7,5,5,3,2,9,6,4,14,14,9,9,23,21,28,43,72,147,131,104,120,103,95,3,
AFR,MOZ,Mozambique,ntetanus,160,0,,271,,59,,47,72,41,11,17,17,26,9,24,8,36,42,32,43,52,37,19,56,45,45,59,34,68,71,67,82,120,74,107,178,165,101
SEAR,MMR,Myanmar,ntetanus,22,20,21,30,32,39,29,32,19,34,25,49,41,39,49,48,72,,41,86,75,20,41,31,71,105,113,190,27,58,57,64,72,96,100,119,123,136,124
AFR,NAM,Namibia,ntetanus,0,1,0,0,4,2,3,5,10,7,11,15,1,8,6,11,8,7,10,12,6,27,20,75,9,12,44,,,,,,,,,,,,
WPR,NRU,Nauru,ntetanus,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,,,,,4,0,,,,,,,,,
SEAR,NPL,Nepal,ntetanus,2,7,7,266,57,87,32,95,13,18,53,32,42,29,27,51,92,327,134,,197,462,254,511,4,20,7,8,0,3,50,49,58,79,92,43,39,48,
EUR,NLD,Netherlands (the),ntetanus,0,,,1,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WPR,NZL,New Zealand,ntetanus,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,,,,,,
AMR,NIC,Nicaragua,ntetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,4,4,7,9,11,15,17,26,32,28,30,75,102,111,30,157
AFR,NER,Niger (the),ntetanus,9,7,7,8,4,1,3,11,13,14,16,23,21,26,43,37,32,39,55,30,27,33,40,61,28,46,56,74,39,,299,285,222,115,154,210,251,311,
AFR,NGA,Nigeria,ntetanus,130,187,34,53,104,468,110,82,176,90,721,163,1667,1903,777,,752,1441,1643,,1871,656,1117,388,693,1879,896,1103,1060,498,,,,,,,,,
WPR,NIU,Niue,ntetanus,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
EUR,MKD,North Macedonia,ntetanus,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,1,,,,,,,,,,,
EUR,NOR,Norway,ntetanus,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EMR,OMN,Oman,ntetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,8,11,11,5,10,,,
EMR,PAK,Pakistan,ntetanus,0,478,,667,,898,320,505,508,781,809,586,548,518,551,812,935,1107,1380,1555,1918,2053,2012,1580,1842,1685,1737,1430,1067,1449,1971,2300,1064,576,535,881,907,775,1085
WPR,PLW,Palau,ntetanus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMR,PAN,Panama,ntetanus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,2,2,3,6,5,9,7,7,12,12,8,15,20,23,19
WPR,PNG,Papua New Guinea,ntetanus,0,0,0,0,0,27,32,56,32,125,,,58,50,50,54,71,75,138,52,47,52,,134,159,177,163,0,,0,0,,,,,,,,
AMR,PRY,Paraguay,ntetanus,0,0,0,0,0,0,1,0,2,1,1,0,2,2,5,4,8,8,7,10,13,20,10,16,20,29,18,33,38,37,55,59,59,76,81,114,113,104,99
AMR,PER,Peru,ntetanus,1,0,1,2,1,1,0,1,5,1,2,4,4,2,4,11,8,8,10,12,14,36,46,94,130,120,140,89,93,183,143,138,89,72,214,200,229,264,294
WPR,PHL,Philippines (the),ntetanus,54,82,85,72,92,77,131,166,126,172,132,121,161,177,250,239,163,283,281,332,50,338,,288,336,455,347,224,291,254,1115,1042,1210,1244,1200,1043,1095,1022,1506
