WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AMR,HTI,Haiti,ttetanus,3,3,,13,3,15,0,0,2,3,16,92,53,119,33,4,43,,,,,33,,,,,,,143,153,63,407,122,318,262,245,223,252,381
AMR,HND,Honduras,ttetanus,14,27,14,17,8,12,17,14,16,21,12,13,18,19,13,23,17,17,9,16,18,11,20,7,29,14,28,22,62,37,32,50,71,47,46,25,31,24,31
EUR,HUN,Hungary,ttetanus,1,0,5,2,2,2,5,4,0,6,4,4,7,3,1,4,5,8,10,,12,12,11,14,17,23,14,11,25,17,18,36,31,37,41,31,41,44,48
EUR,ISL,Iceland,ttetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAR,IND,India,ttetanus,7000,4946,3781,2268,5017,2814,2404,2843,1756,2126,2959,7491,2815,2981,3883,4020,12197,5764,8997,2125,6705,7323,,,32551,15354,11268,15036,23356,24774,24343,31926,32453,37647,31366,34442,41726,41161,45948
SEAR,IDN,Indonesia,ttetanus,,506,522,,1032,225,106,210,147,231,183,141,318,1907,715,1759,171,,466,1782,,1886,,,,4999,5915,5739,7784,6760,5325,167,2800,4249,4192,3277,6583,7217,7231
EMR,IRN,Iran (Islamic Republic of),ttetanus,1,5,3,11,6,10,13,18,14,8,10,11,11,8,11,9,16,22,27,26,41,23,42,26,43,37,35,14,30,56,101,111,172,236,294,359,302,120,86
EMR,IRQ,Iraq,ttetanus,14,19,,6,31,34,34,39,25,34,18,17,9,21,17,,,,,68,38,99,91,99,126,235,331,936,,284,372,360,495,1398,1370,828,1061,937,1045
EUR,IRL,Ireland,ttetanus,0,1,,1,1,2,1,0,0,0,2,1,0,0,1,0,0,3,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
EUR,ISR,Israel,ttetanus,,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,,1,1,3,1,1,2,0,5,0,1,3,1,1,3,2,2,3,3,2
EUR,ITA,Italy,ttetanus,,33,,47,,,64,58,57,62,,22,,0,,70,67,,98,,99,103,105,136,103,90,92,88,123,105,119,100,117,160,154,188,193,196,176
AMR,JAM,Jamaica,ttetanus,0,1,2,1,2,1,4,1,3,6,1,10,9,12,11,2,3,9,5,6,8,6,13,9,6,6,5,13,6,1,6,3,17,19,4,2,11,9,10
WPR,JPN,Japan,ttetanus,133,125,129,120,126,127,116,111,104,113,123,,117,,69,69,80,91,90,,47,,44,,,33,,34,47,42,53,50,62,43,42,56,36,41,50
EMR,JOR,Jordan,ttetanus,0,0,0,0,,0,0,0,0,0,0,1,2,2,1,5,3,4,3,3,1,2,2,4,7,8,8,6,9,11,6,9,13,11,28,29,31,15,46
EUR,KAZ,Kazakhstan,ttetanus,6,3,2,2,1,1,1,3,0,3,2,4,2,5,2,2,3,8,8,7,3,5,15,14,8,11,11,16,,,,,,,,,,,
AFR,KEN,Kenya,ttetanus,0,,2776,32,36,1,2,,7,9,30,52,,56,,,95,,1278,,339,27,,,,,914,933,1692,1048,1441,338,103,884,2963,1986,3402,4094,831
WPR,KIR,Kiribati,ttetanus,0,0,,,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,16,1,4,32,11,23,2,3,1,2,5,1,10,0,3,3,2,0
EMR,KWT,Kuwait,ttetanus,,,,,,0,0,0,0,,,,,0,1,,,,0,1,1,1,2,1,1,0,1,0,2,1,2,1,2,1,7,4,3,3,15
EUR,KGZ,Kyrgyzstan,ttetanus,,,,,,0,0,0,0,0,0,,,0,2,,1,0,,,0,0,0,2,3,0,3,3,,,,,,,,,,,
WPR,LAO,Lao People's Democratic Republic (the),ttetanus,29,11,9,21,,34,36,24,14,15,12,17,17,21,29,35,19,35,39,27,,17,,7,39,15,16,37,27,44,52,37,43,88,31,233,454,,1015
EUR,LVA,Latvia,ttetanus,,,0,0,0,0,0,0,0,0,0,1,0,0,1,,,1,2,3,1,3,4,0,2,1,2,6,,,,,,,,,,,
EMR,LBN,Lebanon,ttetanus,2,1,2,3,,3,2,0,2,3,2,4,2,3,2,1,1,1,2,4,5,4,8,15,5,0,0,,,,,,0,0,0,2,1,,
AFR,LSO,Lesotho,ttetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,13,0,0,,0,,,,,,,,0,27,4,18,0,0,1,1,3,10,0,1
AFR,LBR,Liberia,ttetanus,14,22,6,2,0,8,12,3,4,4,8,13,,13,1,,,142,,,,,,,,,,,228,,351,,,,,153,185,309,307
EMR,LBY,Libya,ttetanus,0,,,,,,0,,,0,0,0,1,2,3,,4,3,,,10,1,,,2,2,3,3,1,7,10,12,14,19,20,27,27,32,30
EUR,LTU,Lithuania,ttetanus,1,3,2,2,1,2,2,2,2,0,0,1,3,4,1,4,1,1,0,6,2,3,2,0,2,4,3,1,,,,,,,,,,,
EUR,LUX,Luxembourg,ttetanus,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,,0,,,0,1,0,1,0,0,0,0,0,0,1,1,1,0,3,0,1,0
AFR,MDG,Madagascar,ttetanus,42,61,136,200,131,556,490,728,6,212,227,10,,63,29,68,30,76,54,26,50,86,77,91,,,,,208,316,355,597,288,384,596,855,781,740,842
AFR,MWI,Malawi,ttetanus,9,3,2,2,1,7,1,8,4,7,5,7,6,6,,7,,15,12,6,1,,1,,,,,90,,,,,327,424,618,405,581,785,461
WPR,MYS,Malaysia,ttetanus,57,41,23,20,22,32,34,11,28,19,29,36,28,,33,18,6,27,40,26,19,11,,12,17,45,42,31,30,59,52,86,51,49,64,36,47,38,60
SEAR,MDV,Maldives,ttetanus,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,0,,,4,0,,,4,4,,1,,,0,0,0,0,0,0,0,0,2
AFR,MLI,Mali,ttetanus,10,7,8,19,61,37,108,,86,73,11,117,17,20,25,,109,101,168,77,,,37,71,,40,311,350,365,617,519,875,787,455,144,288,161,288,294
EUR,MLT,Malta,ttetanus,0,1,0,0,0,,,0,0,0,0,0,,0,0,1,2,1,1,0,0,1,1,1,0,0,0,1,3,2,0,0,1,1,3,5,1,4,8
WPR,MHL,Marshall Islands (the),ttetanus,,,,,,,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0
AFR,MRT,Mauritania,ttetanus,0,3,2,2,6,4,0,,1,1,2,0,0,,,,,,,,,,,,,,,26,24,70,48,64,129,135,82,16,36,35,12
AFR,MUS,Mauritius,ttetanus,,0,,,0,0,0,1,0,1,0,1,1,0,1,,,1,0,0,,,0,,,,,,2,1,0,0,2,4,2,1,17,7,5
AMR,MEX,Mexico,ttetanus,23,27,35,27,26,20,28,23,43,39,45,45,54,71,68,82,61,101,103,93,148,169,229,195,260,139,170,340,381,285,430,311,359,436,399,339,307,359,363
WPR,FSM,Micronesia (Federated States of),ttetanus,0,0,0,0,0,,,,,0,,0,0,0,0,2,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,,,
EUR,MCO,Monaco,ttetanus,,,,,,,1,,,,,,,,,0,0,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
WPR,MNG,Mongolia,ttetanus,,,0,0,0,0,0,0,0,3,1,2,0,0,0,1,2,2,3,,1,1,2,6,6,1,2,0,1,1,0,0,1,1,2,3,2,0,0
EUR,MNE,Montenegro,ttetanus,,,0,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,MAR,Morocco,ttetanus,26,,,,,23,69,16,20,41,27,32,32,,19,5,18,18,7,17,18,24,24,29,35,24,49,75,73,96,132,189,181,171,171,162,161,100,81
AFR,MOZ,Mozambique,ttetanus,160,0,,281,,59,110,60,,41,11,17,18,26,30,49,25,61,65,57,61,69,50,,81,90,101,132,102,152,137,136,161,170,133,224,305,343,573
SEAR,MMR,Myanmar,ttetanus,,61,194,,73,73,75,178,96,229,147,259,224,186,167,260,257,,312,,,,,,269,507,740,,769,1375,1180,1279,1466,1759,2343,3225,3054,2711,2423
AFR,NAM,Namibia,ttetanus,3,3,3,0,4,2,3,10,13,7,11,15,4,15,15,14,10,15,148,17,9,,,,,,,,19,29,52,,,,,,,,
WPR,NRU,Nauru,ttetanus,,,,,,,,0,0,0,0,0,0,0,1,,0,0,0,0,,0,,0,,,,,4,0,0,0,0,,0,0,0,0,0
SEAR,NPL,Nepal,ttetanus,485,880,766,888,883,377,359,193,547,276,308,155,240,112,104,114,241,440,305,349,556,514,632,,4,79,48,,35,,185,149,235,246,,,174,102,116
EUR,NLD,Netherlands (the),ttetanus,1,1,1,0,0,1,1,5,,1,,,,,,4,,,,,0,5,1,3,2,2,3,2,2,3,5,2,5,3,1,9,1,2,8
WPR,NZL,New Zealand,ttetanus,0,0,1,1,0,1,2,0,6,1,,1,,1,1,2,0,0,0,6,2,0,,0,2,2,8,0,0,0,1,4,3,3,7,5,5,4,2
AMR,NIC,Nicaragua,ttetanus,3,1,1,3,1,1,1,0,1,0,2,4,6,8,5,5,8,10,9,5,10,14,10,8,18,7,21,11,15,17,94,44,119,137,194,213,271,79,362
AFR,NER,Niger (the),ttetanus,34,36,32,24,45,71,75,131,146,157,136,194,98,110,176,221,204,275,286,201,228,201,,220,,,,105,220,230,299,285,222,115,154,210,261,313,346
AFR,NGA,Nigeria,ttetanus,131,187,34,53,208,556,112,114,199,,721,163,1667,,,,3483,3587,1643,,,,2945,,1083,3976,3440,3392,2703,2015,3883,3760,2269,2679,2924,2577,3479,3035,3095
WPR,NIU,Niue,ttetanus,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
EUR,MKD,North Macedonia,ttetanus,,0,,0,0,0,2,0,1,0,0,0,1,2,1,0,1,0,0,4,,1,2,1,1,2,1,1,,,,,,,,,,,
EUR,NOR,Norway,ttetanus,3,,0,2,1,0,1,0,0,1,2,,0,0,0,1,0,1,0,,,2,1,2,2,1,4,0,1,1,4,2,1,1,4,3,1,0,3
EMR,OMN,Oman,ttetanus,1,0,0,0,2,1,1,2,2,2,2,2,2,1,3,3,4,3,5,1,5,5,3,8,7,7,10,7,3,11,11,10,24,64,51,90,52,36,48
EMR,PAK,Pakistan,ttetanus,0,478,,667,,898,320,516,559,816,984,743,610,697,649,890,1016,1184,1465,1610,1957,2119,2125,1687,1940,1858,1875,1544,4080,1494,2164,3190,6137,8143,5599,4880,3856,2846,2738
WPR,PLW,Palau,ttetanus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMR,PAN,Panama,ttetanus,2,0,1,0,0,0,10,1,1,2,5,2,3,1,2,1,2,2,4,4,3,2,3,2,10,8,8,9,10,11,7,14,17,15,18,19,24,39,31
WPR,PNG,Papua New Guinea,ttetanus,0,0,0,0,0,27,32,56,32,125,,,58,50,50,,,,138,52,47,,,,182,231,228,124,115,96,146,73,76,61,47,39,40,60,68
AMR,PRY,Paraguay,ttetanus,5,10,4,3,8,6,5,10,8,12,14,10,11,17,12,22,13,15,13,23,19,30,16,42,36,33,39,45,50,80,64,59,111,136,172,198,190,190,188
AMR,PER,Peru,ttetanus,24,24,25,22,21,35,17,38,47,19,42,55,28,44,52,58,49,33,57,70,88,63,57,94,130,120,140,89,124,203,143,271,373,324,606,360,400,385,525
WPR,PHL,Philippines (the),ttetanus,943,1057,1082,880,839,1069,,1537,1140,1022,813,1261,1232,922,1293,1151,1165,1479,1135,1439,648,1627,,1443,1998,2116,710,1237,2286,3102,3199,2910,3381,3474,3353,2912,2441,2242,3080
EUR,POL,Poland,ttetanus,8,11,12,,,14,19,,16,19,,19,22,15,25,30,20,21,14,22,,37,46,44,54,51,52,58,65,59,67,71,76,86,87,116,122,91,89
EUR,PRT,Portugal,ttetanus,2,0,1,0,2,1,3,0,3,6,1,9,7,8,9,6,11,,15,,19,16,24,28,28,26,37,39,34,60,53,57,51,83,50,62,83,82,73
EMR,QAT,Qatar,ttetanus,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,1,3,5,3,2,5,2,7
