WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFR,KEN,Kenya,pertussis,6,,3,,,,,,,,,,,,,0,300,285,424,180,290,63,,58,,,,136907,7404,9035,422,11991,30590,17949,46187,66617,78497,49903,13281
WPR,KIR,Kiribati,pertussis,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,11,202,466,335,68,169,13,63,143,830,0,0,22,104,188,1,0,19,101,161
EMR,KWT,Kuwait,pertussis,,,,35,28,30,83,16,41,,,,,110,67,,,,43,7,20,137,10,46,5,28,78,1,25,11,163,114,42,22,14,354,96,60,69
EUR,KGZ,Kyrgyzstan,pertussis,610,161,195,,,90,62,77,109,224,45,71,56,91,9,9,32,136,34,107,131,99,160,106,155,299,371,190,237,,,,,,,,,,
WPR,LAO,Lao People's Democratic Republic (the),pertussis,289,111,9,140,,60,412,38,6,12,26,13,182,120,199,200,,111,80,133,49,90,264,106,900,104,233,2227,856,271,2523,980,286,2881,1813,652,396,,2718
EUR,LVA,Latvia,pertussis,159,95,250,210,81,201,257,10,9,9,14,27,29,25,39,99,159,160,135,55,149,152,39,58,137,115,106,208,129,,,,,,,,,,
EMR,LBN,Lebanon,pertussis,64,90,97,53,0,58,53,7,19,65,50,45,46,43,21,28,51,7,1,19,8,14,8,4,1,14,6,,,,,,,,,296,,,
AFR,LSO,Lesotho,pertussis,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,,,,,34,49,48,36,287,186,565,632,554,416,2020
AFR,LBR,Liberia,pertussis,,191,,0,0,0,0,0,,0,,,,0,0,,379,131,281,394,1114,,104,,,432,,,,7,4561,5,15,32,8,15,48,389,62
EMR,LBY,Libya,pertussis,910,,,,,,197,,,16,22,94,118,41,27,,21,10,,,18,2,,,14,15,81,108,43,53,15,77,157,158,39,30,87,220,25
EUR,LTU,Lithuania,pertussis,27,21,36,60,143,65,154,30,19,233,51,17,6,64,48,5,23,162,91,80,96,150,57,104,232,254,301,350,,,,,,,,,,,
EUR,LUX,Luxembourg,pertussis,,19,6,0,,30,10,4,0,1,2,0,0,,3,10,,,0,,,0,1,1,0,4,1,2,3,22,2,0,6,17,6,20,21,16,46
AFR,MDG,Madagascar,pertussis,180,0,321,413,,19,33,369,0,255,,0,0,,2974,8021,2428,104,3880,3244,1168,807,1263,1565,,,,,1333,1689,2426,4436,5449,12515,9958,20891,43365,31592,32457
AFR,MWI,Malawi,pertussis,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,365,,0,,0,0,0,0,,30,,,,35938,24902,25712,14374,19211,26921,18627,29769
WPR,MYS,Malaysia,pertussis,892,353,298,939,500,222,217,248,41,5,11,15,6,8,40,28,6,26,42,17,6,3,7,8,12,15,25,20,24,25,27,121,68,150,57,86,126,106,97
SEAR,MDV,Maldives,pertussis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7
