WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EUR,ROU,Romania,yfever,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
EUR,RUS,Russian Federation (the),yfever,,,,,0,,,0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
AFR,RWA,Rwanda,yfever,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,
AMR,KNA,Saint Kitts and Nevis,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,
AMR,LCA,Saint Lucia,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
AMR,VCT,Saint Vincent and the Grenadines,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,
WPR,WSM,Samoa,yfever,0,0,,,,,0,0,0,0,,,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,
EUR,SMR,San Marino,yfever,0,0,0,,,,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
AFR,STP,Sao Tome and Principe,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
EMR,SAU,Saudi Arabia,yfever,,,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
AFR,SEN,Senegal,yfever,0,0,0,1,0,2,1,7,1,0,0,0,1,7,1,163,,18,0,0,,0,,,,0,0,0,,,,,,,,,,3,
EUR,SRB,Serbia,yfever,0,,,,,,,,,,0,0,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,
AFR,SYC,Seychelles,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,
AFR,SLE,Sierra Leone,yfever,0,0,0,0,0,3,94,361,0,3,111,0,12,3,0,95,0,,1,,,0,,1,,,,,,,,,,,,,,,
WPR,SGP,Singapore,yfever,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,
EUR,SVK,Slovakia,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
EUR,SVN,Slovenia,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
WPR,SLB,Solomon Islands,yfever,0,,,,,0,0,0,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,
EMR,SOM,Somalia,yfever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
