WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
EUR,RUS,Russian Federation (the),Mumps,2027,4443,1106,190,267,282,394,406,510,925,1535,1855,2361,3027,4366,9191,11490,20289,40976,70656,
AFR,RWA,Rwanda,Mumps,2154,,1809,,0,,,,,0,,,,0,,0,,,,,
AMR,KNA,Saint Kitts and Nevis,Mumps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,
AMR,LCA,Saint Lucia,Mumps,0,0,0,0,0,0,0,0,0,0,73,0,0,,0,0,1,4,,,
AMR,VCT,Saint Vincent and the Grenadines,Mumps,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,,
WPR,WSM,Samoa,Mumps,50,0,,,,,0,0,1,0,,,0,1,0,21,,,,,
EUR,SMR,San Marino,Mumps,0,0,0,2,,,2,1,2,0,,0,0,1,0,,,,11,,
AFR,STP,Sao Tome and Principe,Mumps,0,15,7,0,,,,,,0,0,0,0,0,0,0,6,0,4,,
EMR,SAU,Saudi Arabia,Mumps,118,47,14,3,19,1172,64,26,610,138,31,32,79,139,349,749,976,941,,2290,
AFR,SEN,Senegal,Mumps,,,,,,,,,,,,,,,,,,,,,
EUR,SRB,Serbia,Mumps,13,37,40,41,63,64,584,63,40,262,277,80,52,93,334,362,1062,473,1215,932,
AFR,SYC,Seychelles,Mumps,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,,4,
AFR,SLE,Sierra Leone,Mumps,,,,,,,,,,,,0,,,,,,,,,
WPR,SGP,Singapore,Mumps,476,524,,,,495,521,501,452,631,801,780,844,1003,1003,877,1090,1399,5981,6384,
EUR,SVK,Slovakia,Mumps,13,29,203,1707,1559,218,5,2,2,5,5,5,17,10,14,24,11,20,32,44,
EUR,SVN,Slovenia,Mumps,0,3,0,1,1,1,8,4,5,27,32,22,23,13,22,42,36,43,,,
WPR,SLB,Solomon Islands,Mumps,0,0,,,,0,0,0,,0,0,0,0,,,,0,0,,,
EMR,SOM,Somalia,Mumps,,,,,,,,,,,,,,,,,,,,,
AFR,ZAF,South Africa,Mumps,0,,,,,,,,,,,,,,,,24,,,,
AFR,SSD,South Sudan,Mumps,,0,,0,0,,,,,,,,,,,,,,,,
EUR,ESP,Spain,Mumps,9129,10082,4999,,,13951,9539,4416,2516,2036,3816,10337,6797,2349,,1623,4495,,9391,4200,
SEAR,LKA,Sri Lanka,Mumps,290,252,311,338,383,1274,3558,1129,897,660,778,1153,,,,,,622,901,592,
EMR,SDN,Sudan (the),Mumps,,,,,,,,,,,,,,,,,,,,,
AMR,SUR,Suriname,Mumps,9,,13,0,0,0,0,0,0,0,0,,,0,0,,37,,,,
EUR,SWE,Sweden,Mumps,21,32,22,23,21,44,33,38,24,34,52,46,60,81,30,8,15,22,37,,
EUR,CHE,Switzerland,Mumps,,,0,,,,,140,600,900,,,,,,,,9900,,16400,
EMR,SYR,Syrian Arab Republic (the),Mumps,534,360,85,,,45,52,95,145,144,561,414,330,441,3676,6198,10724,18651,7780,10836,
EUR,TJK,Tajikistan,Mumps,1873,2532,1790,,,1530,1518,1441,1558,1200,1171,1430,732,547,424,,2915,526,428,1990,
SEAR,THA,Thailand,Mumps,2061,17,23,3121,3704,5907,7431,10077,15885,20383,13861,9299,7838,8791,10767,11069,10853,9039,6527,8104,
SEAR,TLS,Timor-Leste,Mumps,26,21,0,,0,,0,0,0,0,0,0,,0,0,,,,,,
AFR,TGO,Togo,Mumps,,,,,,,,,,,,,,,,,,,,,
WPR,TON,Tonga,Mumps,0,,0,,,0,0,0,0,0,0,0,8,20,0,0,,0,0,1,
AMR,TTO,Trinidad and Tobago,Mumps,0,0,0,0,0,0,0,0,0,0,0,,13,0,0,24,20,15,,,
EMR,TUN,Tunisia,Mumps,,,,,,,,,,,,,,,,,,,,,
EUR,TUR,Turkey,Mumps,464,419,544,322,457,597,834,1609,1525,2180,9514,16524,19726,19754,,,,,,,
EUR,TKM,Turkmenistan,Mumps,15,24,0,14,27,13,,31,61,143,241,562,,472,798,,1661,680,1124,764,
WPR,TUV,Tuvalu,Mumps,,,,,,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,
AFR,UGA,Uganda,Mumps,,,,,,,,,,,,,,,,,,,,,
EUR,UKR,Ukraine,Mumps,392,336,439,461,,,799,955,951,,1985,2921,3726,3776,5115,13156,20934,23476,26538,32854,
EMR,ARE,United Arab Emirates (the),Mumps,104,,,,354,,377,,396,,477,,,222,248,333,352,423,732,1236,
EUR,GBR,United Kingdom of Great Britain and Northern Ireland (the),Mumps,1398,2360,974,1008,2958,4718,3178,2716,4527,8670,2625,2569,5691,63525,10055,,544,814,1089,,
AFR,TZA,United Republic of Tanzania,Mumps,,,,,,,,,,,71,,,,,,,,,,
AMR,USA,United States of America (the),Mumps,,6109,6369,1308,1223,584,229,386,2612,1991,451,800,6339,,258,197,238,231,323,,
AMR,URY,Uruguay,Mumps,1645,1726,938,2087,0,205,113,132,169,256,641,2069,1646,2193,,0,5,18,20,24,
EUR,UZB,Uzbekistan,Mumps,0,301,268,0,2336,3256,2300,1160,1418,1454,1862,4151,1754,1784,2304,5414,9677,5775,3949,5439,
WPR,VUT,Vanuatu,Mumps,383,,,,,,,,,,0,,50,,,,0,0,,,
AMR,VEN,Venezuela (Bolivarian Republic of),Mumps,,81,50,156,69,15,0,2740,3353,7509,1007,19118,2935,3095,2842,3158,3601,1788,5851,6578,
WPR,VNM,Viet Nam,Mumps,,,,,,,,,,,,,,,,,,,,18008,
EMR,YEM,Yemen,Mumps,,,,,,3837,5081,3306,4685,5243,5191,5059,6295,3165,,,,,,,
AFR,ZMB,Zambia,Mumps,,0,0,,,,,,,0,13728,6082,6548,15874,17472,6654,6882,12989,6213,7396,
AFR,ZWE,Zimbabwe,Mumps,2,18,14,0,,,0,,,0,,,,,,,,,,,
