"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2008072794","2","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008043927","2","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008043964","1","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008043964","2","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008044022","3","0","PA","8","X525XJ ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008044033","1","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008044049","1","0","","7","8738S3 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008044250","1","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008044299","2","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008044308","2","0","","6","TIY2YIE ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008044478","1","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008044684","2","0","PA","8","EV50269 ","9999","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008044703","1","0","CA","7","0047 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008045469","1","0","","7","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008045532","1","0","","7","VI95I3 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008045540","1","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008045585","2","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008046773","1","0","VA","7","89289Z ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008046786","2","0","VA","6","879266TR ","1997","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008047074","1","0","PA","6","PT9708K ","2000","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008047369","2","0","OR","7","7553I ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008047382","1","0","ME","7","U84485 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008047384","1","0","PA","7","M57AZK ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008047846","2","0","","6","8XZ87 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009002129","1","0","ME","7","II79H2 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009002230","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009002395","1","0","OK","7","6959EV ","2006","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009002396","1","0","NJ","7","T1B146 ","2010","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009002457","2","0","NJ","1","5WW8OE ","9999","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009002633","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008058968","1","0","ME","6","0B50963 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008059214","2","0","","","06 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008059276","1","0","","7","P7R9YM ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008059288","2","0","","3","XCFQI6 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008059895","1","0","","","I ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008087880","1","0","","1","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008088925","2","0","","6","BT3BY37 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008089213","2","0","","7","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008089911","1","0","OR","6","HS11139 ","2020","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008060352","2","0","PA","3","XDA9098 ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008060617","1","0","","6","O983495 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008060912","2","0","","7","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008133605","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008133938","2","0","ME","6","1177718 ","2006","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008133977","1","0","","3","8009MG ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008134007","1","0","","","UNK ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008134024","2","0","","1","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008134173","1","0","NJ","7","TEH45J ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008134175","1","0","OK","7","8686FN ","2011","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008134341","1","0","NJ","7","T21G1S ","2000","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008134484","1","0","IL","7","42655ST ","2099","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008120825","1","0","","2","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008120903","2","0","M ","","W ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008121061","1","0","","8","P ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008121104","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008121118","1","0","","","1 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009030766","2","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009030780","19","0","","6","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009036411","1","0","IL","7","I543I6T ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009037170","2","0","","7","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008073510","1","0","MA","7","094M8 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008073924","1","0","NJ","6","T170004 ","1974","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008074475","2","0","ME","7","1732334 ","2006","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008097568","2","0","","","GY48N7 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008097991","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008098006","3","0","ME","6","O9RR9E70 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008098154","1","0","","3","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008098233","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008098370","1","0","","2","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008098413","1","0","ZZ","7","RVH5114 ","9999","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008098473","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008098636","2","0","","","6 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008098655","1","0","","7","60MI08 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008061303","1","0","","7","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008062158","2","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008062158","3","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008062158","4","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008062189","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008062189","3","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008062189","4","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008062484","2","0","NJ","6","T853SC ","1986","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008062521","2","0","","1","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009007071","2","0","IN","7","P1322103 ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009007073","2","0","OK","6","1536RN ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008048107","1","0","IA","7","TC6049 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008048605","2","0","","8","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008048614","1","0","","6","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
