"CRN","UNIT_NUM","PERSON_NUM","PERSON_TYPE","INJ_SEVERITY","RESTRAINT_HELMET","AIRBAG_PADS","SEAT_POSITION","EJECTION_IND","AGE","SEX","EJECT_PATH_CD","EXTRIC_IND","TRANSPORTED","DVR_LIC_STATE","DVR_PED_CONDITION","PED_LOCATION","PED_SIGNAL","CLOTHING_TYPE","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2008044662","2","3","2","0","99","99","15","1","99","F","0","1","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044662","2","2","2","0","99","99","15","1","99","F","0","1","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044662","2","1","1","0","99","99","01","1","49","M","0","1","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044672","2","1","1","4","99","10","01","1","28","F","0","2","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044672","1","1","1","0","99","99","01","1","20","M","0","1","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044682","1","2","2","0","99","99","01","1","2","M","0","1","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044682","1","1","1","0","99","99","01","0","46","M","0","0","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044682","2","1","1","4","99","99","01","1","38","F","0","1","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044917","1","2","2","0","99","99","03","0","32","M","0","0","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044917","1","1","1","0","99","01","01","0","29","M","0","0","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044917","2","2","2","4","99","99","03","0","52","F","0","2","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008044917","2","1","1","4","99","99","01","0","75","M","0","2","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008045532","1","1","1","0","99","00","01","0","23","M","0","0","","VA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008045532","2","3","2","3","99","00","03","0","23","F","0","0","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008045532","2","2","1","3","99","00","01","0","41","M","0","0","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008045550","2","1","7","3","00","00","00","0","63","F","0","0","","","0","99","2","9","2008","67","PERSON_2008_Philadelphia","67301"
"2008045550","1","2","2","0","99","00","15","0","76","F","0","0","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008045550","1","1","1","0","99","00","01","0","39","F","0","0","","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008127406","1","1","1","9","99","99","01","1","99","U","0","1","N","","9","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008127406","2","2","1","0","03","10","01","1","62","F","0","1","N","MD","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008127005","3","1","1","0","03","10","01","1","40","M","0","1","N","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008127005","2","1","1","8","03","01","01","1","42","F","0","1","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
"2008127005","1","2","2","2","00","01","03","1","26","M","0","1","Y","PA","0","","","","2008","67","PERSON_2008_Philadelphia","67301"
