"ACCESS_CTRL","ADJ_RDWY_SEQ","COUNTY","CRASH_YEAR","CRN","LANE_COUNT","OFFSET","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME","COUNTY_YEAR","MUNICIPALITY"
"3","3","67","2008","2008097538","2 ","0","W","3","2","3018","0030","45","HAVERFORD AV","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008097843","2 ","2874","E","4","2","1018","0020","30","GRANT AV","ROADWAY_2008_Philadelphia","67301"
"3","4","67","2008","2008097843","2 ","2879","W","5","2","1018","0021","35","GRANT AV","ROADWAY_2008_Philadelphia","67301"
"3","5","67","2008","2008097843","3 ","0","S","3","2","6001","0321","45","ROOSEVELT BL","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008097885","02","","S","3","4","","","","15TH ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008097894","01","","E","3","4","","","25","BROWN ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008097921","01","","W","4","4","","","","MCKEAN ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008097921","02","","N","3","4","","","","6TH ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008097927","02","","S","4","4","","","","SIXTYFIFTH ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008097927","2 ","1267","E","3","2","3018","0030","45","HAVERFORD AV","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098050","02","","E","4","4","","","","CHELTENHAM AV","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098050","3 ","1352","N","3","2","2009","0100","","HARBISON AV","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098094","02","","S","3","4","","","25","56TH ST","ROADWAY_2008_Philadelphia","67301"
"2","5","67","2008","2008098105","3 ","3581","N","5","2","3002","0020","","EIGHTYFOURTH ST","ROADWAY_2008_Philadelphia","67301"
"3","6","67","2008","2008098105","3 ","3589","S","6","2","3002","0021","","EIGHTYFOURTH ST","ROADWAY_2008_Philadelphia","67301"
"3","4","67","2008","2008098105","2 ","0","W","4","2","0291","0027","40","BARTRAM AV","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098105","2 ","0","E","3","2","0291","0026","40","BARTRAM AV","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098150","01","","S","3","4","","","25","6TH ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098175","2 ","2638","W","3","2","3023","0060","25","CHESTER AV","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098184","02","","N","4","4","","","25","THIRD ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098184","2 ","1013","N","3","2","3007","0010","25","ARCH ST","ROADWAY_2008_Philadelphia","67301"
"","5","67","2008","2008098190","02","","E","4","4","","","","DEVEREAUX ST","ROADWAY_2008_Philadelphia","67301"
"3","4","67","2008","2008098190","04","0","S","5","2","6001","0241","40","","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098190","04","0","N","3","2","6001","0240","40","","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098201","02","","S","4","4","","","35","EDGEMONT ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098201","2 ","1545","E","3","2","2014","0100","25","LEHIGH AV","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098221","99","","N","4","4","","","","EIGHTH ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098221","2 ","788","W","3","2","2014","0051","25","LEHIGH AV","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098222","01","","N","3","4","","","25","EMERALD ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098253","02","","N","4","4","","","25","EIGHTEENTH ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098273","02","","S","3","4","","","25","4TH ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098375","01","","W","4","4","","","25","SOMERSET ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098375","01","","S","3","4","","","25","A ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008098392","2 ","239","W","3","2","4004","0040","35","OLNEY AV","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098481","01","","N","3","4","","","25","HANCOCK ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008098630","02","","S","4","4","","","25","48TH ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008098630","02","","W","3","4","","","25","WYALUSING AV","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2009026087","02","","S","4","4","","","","FRAZIER ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2009026087","02","","W","3","4","","","","WILLOWS ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2009026093","2 ","3340","E","3","2","1014","0030","35","RHAWN ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2009026822","3 ","26","S","3","2","6001","0381","45","ROOSEVELT BL","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2009026898","02","","N","4","4","","","25","SACKETT ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2009026898","02","","W","3","4","","","25","PRINCETON AV","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2009030471","02","","E","4","4","","","","STOKLEY RD","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2009030471","02","2210","N","3","2","4011","0020","","MIDVALE RD","ROADWAY_2008_Philadelphia","67301"
"","5","67","2008","2009030588","01","","E","5","4","","","25","WESTMORELAND ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2009030588","1 ","1656","W","4","2","2009","0041","25","ARAMINGO AV","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2009030588","1 ","1657","E","3","2","2009","0040","25","ARAMINGO AV","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008018479","03","","W","3","4","","","45","WALT WHITMAN BR","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008089377","2 ","1663","S","3","2","4002","0060","35","STENTON AV","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008097423","02","","E","3","4","","","25","GREENLAND DR","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008097454","4 ","913","S","3","2","3037","0023","35","JOHN F KENNEDY BL","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008097454","02","","N","4","4","","","25","EIGHTEENTH ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008097486","04","","W","3","4","","","","RED LION RD","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008097488","02","","E","3","4","","","25","NEDRO ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008097488","02","","S","4","4","","","25","20TH ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008097579","3 ","0","N","3","2","6001","0260","40","ROOSEVELT BL","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008097579","02","","E","4","4","","","25","TYSON AV","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008097713","02","","E","3","4","","","25","MALCOLM ST","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008097931","02","","W","3","4","","","","SPENCER ST","ROADWAY_2008_Philadelphia","67301"
"","3","67","2008","2008097931","02","","N","4","4","","","","NORWOOD ST","ROADWAY_2008_Philadelphia","67301"
"3","3","67","2008","2008097964","2 ","2584","B","3","2","3009","0044","25","RIDGE AV","ROADWAY_2008_Philadelphia","67301"
"","4","67","2008","2008097964","02","","W","5","4","","","","SEDGLEY ST","ROADWAY_2008_Philadelphia","67301"
